genome,locus_tag,start,end,strand,type,gene_names
NC_000913.3,b0026,22391,25207,+,CDS,ileS;ECK0027;ilvS;NP_414567.1
NC_000913.3,b0027,25207,25701,+,CDS,lspA;ECK0028;lsp;NP_414568.1
NC_000913.3,b0028,25826,26275,+,CDS,fkpB;ECK0029;slpA;yaaD;NP_414569.1
NC_000913.3,b0029,26277,27227,+,CDS,ispH;ECK0030;lytB;yaaE;NP_414570.1
NC_000913.3,b0030,27293,28207,+,CDS,rihC;ECK0031;yaaF;NP_414571.1
NC_000913.3,b0031,28374,29195,+,CDS,dapB;ECK0032;NP_414572.1
NC_000913.3,b0032,29651,30799,+,CDS,carA;arg;ECK0033;pyrA;NP_414573.1
NC_000913.3,b0033,30817,34038,+,CDS,carB;ECK0034;pyrA;NP_414574.1
NC_000913.3,b0034,34300,34695,+,CDS,caiF;ECK0035;NP_414576.4
NC_000913.3,b0035,34781,35371,-,CDS,caiE;ECK0036;NP_414577.2
NC_000913.3,b0036,35377,36162,-,CDS,caiD;ECK0037;yaaL;NP_414578.2
NC_000913.3,b0037,36271,37824,-,CDS,caiC;ECK0038;yaaM;NP_414579.4
NC_000913.3,b0038,37898,39115,-,CDS,caiB;ECK0039;yaaN;NP_414580.1
NC_000913.3,b0039,39244,40386,-,CDS,caiA;ECK0040;yaaO;NP_414581.1
NC_000913.3,b0040,40417,41931,-,CDS,caiT;ECK0041;yaaP;NP_414582.1
NC_000913.3,b0041,42403,43173,+,CDS,fixA;ECK0042;yaaQ;NP_414583.2
NC_000913.3,b0042,43188,44129,+,CDS,fixB;ECK0043;yaaR;NP_414584.1
NC_000913.3,b0043,44180,45466,+,CDS,fixC;ECK0044;yaaS;NP_414585.1
NC_000913.3,b0044,45463,45750,+,CDS,fixX;ECK0045;yaaT;NP_414586.1
NC_000913.3,b0045,45807,47138,+,CDS,yaaU;ECK0046;yabE;NP_414587.1
NC_000913.3,b0046,47246,47776,+,CDS,kefF;ECK0047;yabF;NP_414588.1
NC_000913.3,b0047,47769,49631,+,CDS,kefC;ECK0048;trkC;NP_414589.1
NC_000913.3,b0048,49823,50302,+,CDS,folA;ECK0049;tmr;tmrA;NP_414590.1
NC_000913.3,b0049,50380,51222,-,CDS,apaH;cfcB;ECK0050;NP_414591.1
NC_000913.3,b0050,51229,51606,-,CDS,apaG;ECK0051;NP_414592.1
NC_000913.3,b0051,51609,52430,-,CDS,rsmA;ECK0052;ksgA;NP_414593.1
NC_000913.3,b0052,52427,53416,-,CDS,pdxA;ECK0053;NP_414594.1
NC_000913.3,b0053,53416,54702,-,CDS,surA;ECK0054;NP_414595.1
NC_000913.3,b0054,54755,57109,-,CDS,lptD;ECK0055;imp;ostA;yabG;NP_414596.1
NC_000913.3,b0055,57364,58179,+,CDS,djlA;ECK0056;yabH;NP_414597.1
NC_000913.3,b0056,58474,59124,+,CDS,yabP;b4659;ECK0057;YP_009518734.1
NC_000913.3,b0057,59121,59279,+,CDS,yabQ;b4659;ECK0058;YP_009518735.1
NC_000913.3,b0058,59687,60346,-,CDS,rluA;ECK0059;yabO;NP_414600.1
NC_000913.3,b0059,60358,63264,-,CDS,rapA;ECK0060;hepA;yabA;NP_414601.1
NC_000913.3,b0060,63429,65780,-,CDS,polB;dinA;ECK0061;NP_414602.1
NC_000913.3,b0061,65855,66550,-,CDS,araD;ECK0062;NP_414603.1
NC_000913.3,b0062,66835,68337,-,CDS,araA;ECK0063;NP_414604.1
NC_000913.3,b0063,68348,70048,-,CDS,araB;ECK0064;NP_414605.1
NC_000913.3,b0064,70387,71265,+,CDS,araC;ECK0065;NP_414606.1
NC_000913.3,b0065,71351,72115,+,CDS,yabI;ECK0066;NP_414607.1
NC_000913.3,b0066,72229,72927,-,CDS,thiQ;ECK0067;sfuC;yabJ;NP_414608.1
NC_000913.3,b0067,72911,74521,-,CDS,thiP;ECK0068;sfuB;yabK;NP_414609.1
NC_000913.3,b0068,74497,75480,-,CDS,thiB;ECK0069;sfuA;tbpA;yabL;NP_414610.1
NC_000913.3,b4762,75516,75608,-,ncRNA,sroA;ECK4619;tpe79
NC_000913.3,b0069,75644,77299,-,CDS,sgrR;ECK0070;yabN;NP_414611.1
NC_000913.3,b4577,77367,77593,+,ncRNA,sgrS;ECK0071;ryaA
NC_000913.3,b4662,77388,77519,+,CDS,sgrT;ECK4477;YP_002791237.1
NC_000913.3,b0070,77621,78799,+,CDS,setA;ECK0072;yabM;YP_025293.1
NC_000913.3,b0071,78848,79453,-,CDS,leuD;ECK0073;NP_414613.1
NC_000913.3,b0072,79464,80864,-,CDS,leuC;ECK0074;NP_414614.1
NC_000913.3,b0073,80867,81958,-,CDS,leuB;ECK0075;NP_414615.4
NC_000913.3,b0074,81958,83529,-,CDS,leuA;ECK0076;NP_414616.1
NC_000913.3,b0075,83622,83708,-,CDS,leuL;ECK0077;leuIP;leulL;leulLP;leuLP;NP_414617.1
NC_000913.3,b0076,84368,85312,+,CDS,leuO;ECK0078;NP_414618.4
NC_000913.3,b4726,85467,85511,-,CDS,yabR;ECK4583;YP_009518736.1
NC_000913.3,b0077,85630,87354,+,CDS,ilvI;ECK0079;YP_025294.2
NC_000913.3,b0078,87357,87848,+,CDS,ilvH;brnP;ECK0080;NP_414620.1
NC_000913.3,b0080,88028,89032,+,CDS,cra;ECK0081;fruC;fruR;shl;NP_414622.1
NC_000913.3,b0081,89634,90092,+,CDS,mraZ;ECK0082;yabB;NP_414623.1
NC_000913.3,b0082,90094,91035,+,CDS,rsmH;ECK0083;mraW;yabC;NP_414624.1
NC_000913.3,b0083,91032,91397,+,CDS,ftsL;ECK0084;mraR;yabD;NP_414625.1
NC_000913.3,b0084,91413,93179,+,CDS,ftsI;ECK0085;pbpB;sep;NP_414626.1
NC_000913.3,b4810,92485,92658,+,ncRNA,ftsO;ECK4667
NC_000913.3,b0085,93166,94653,+,CDS,murE;ECK0086;NP_414627.1
NC_000913.3,b0086,94650,96008,+,CDS,murF;ECK0087;mra;NP_414628.1
NC_000913.3,b0087,96002,97084,+,CDS,mraY;ECK0088;murX;NP_414629.1
NC_000913.3,b0088,97087,98403,+,CDS,murD;ECK0089;NP_414630.1
NC_000913.3,b0089,98403,99647,+,CDS,ftsW;ECK0090;NP_414631.1
NC_000913.3,b0090,99644,100711,+,CDS,murG;ECK0091;NP_414632.1
NC_000913.3,b0091,100765,102240,+,CDS,murC;ECK0092;NP_414633.1
NC_000913.3,b0092,102233,103153,+,CDS,ddlB;ddl;ECK0093;NP_414634.1
NC_000913.3,b0093,103155,103985,+,CDS,ftsQ;ECK0094;NP_414635.1
NC_000913.3,b0094,103982,105244,+,CDS,ftsA;divA;ECK0095;NP_414636.1
NC_000913.3,b4840,104948,105499,-,ncRNA,stfZ;ECK4697
NC_000913.3,b0095,105305,106456,+,CDS,ftsZ;ECK0096;sfiB;sulB;NP_414637.1
NC_000913.3,b0096,106557,107474,+,CDS,lpxC;asmB;ECK0097;envA;NP_414638.1
NC_000913.3,b0097,107705,108217,+,CDS,secM;ECK0098;srrA;yacA;NP_414639.2
NC_000913.3,b0098,108279,110984,+,CDS,secA;azi;ECK0099;pea;prlD;NP_414640.1
NC_000913.3,b0099,111044,111433,+,CDS,mutT;ECK0100;nudA;NP_414641.1
NC_000913.3,b0101,111649,111846,-,CDS,yacG;ECK0101;NP_414643.1
NC_000913.3,b0102,111856,112599,-,CDS,zapD;ECK0102;yacF;NP_414644.1
NC_000913.3,b0103,112599,113219,-,CDS,coaE;ECK0103;yacE;NP_414645.1
NC_000913.3,b4727,113244,113288,+,CDS,yacM;ECK4584;YP_009518737.1
NC_000913.3,b0104,113444,114487,+,CDS,guaC;ECK0104;NP_414646.1
NC_000913.3,b0106,114522,115724,-,CDS,hofC;ECK0105;hopC;yacD;NP_414648.1
NC_000913.3,b0107,115714,117099,-,CDS,hofB;ECK0106;hopB;NP_414649.1
NC_000913.3,b0108,117109,117549,-,CDS,ppdD;ECK0107;NP_414650.1
NC_000913.3,b0109,117752,118645,-,CDS,nadC;ECK0108;NP_414651.1
NC_000913.3,b0110,118733,119284,+,CDS,ampD;ECK0109;NP_414652.1
NC_000913.3,b0111,119281,120135,+,CDS,ampE;ECK0110;NP_414653.1
NC_000913.3,b0112,120178,121551,-,CDS,aroP;aroR;ECK0111;NP_414654.1
NC_000913.3,b0113,122092,122856,+,CDS,pdhR;aceC;ECK0112;genA;yacB;NP_414655.1
NC_000913.3,b0114,123017,125680,+,CDS,aceE;ECK0113;NP_414656.1
NC_000913.3,b0115,125695,127587,+,CDS,aceF;ECK0114;NP_414657.1
NC_000913.3,b0116,127912,129336,+,CDS,lpd;dhl;ECK0115;lpdA;NP_414658.1
NC_000913.3,b0117,129407,131260,-,CDS,yacH;ECK0116;NP_414659.1
NC_000913.3,b0118,131615,134212,+,CDS,acnB;ECK0117;yacI;yacJ;NP_414660.1
NC_000913.3,b0119,134388,134750,+,CDS,yacL;ECK0118;NP_414661.2
NC_000913.3,b0120,134788,135582,-,CDS,speD;ECK0119;NP_414662.1
NC_000913.3,b0121,135598,136464,-,CDS,speE;ECK0120;NP_414663.1
NC_000913.3,b0122,136570,136917,-,CDS,yacC;ECK0121;NP_414664.4
NC_000913.3,b0123,137083,138633,+,CDS,cueO;ECK0122;yacK;NP_414665.1
NC_000913.3,b0124,138835,141225,-,CDS,gcd;ECK0123;NP_414666.1
NC_000913.3,b0125,141431,141967,+,CDS,hpt;ECK0124;NP_414667.4
NC_000913.3,b0126,142008,142670,-,CDS,can;ECK0125;yadF;NP_414668.1
NC_000913.3,b0127,142779,143705,+,CDS,yadG;ECK0126;NP_414669.1
NC_000913.3,b0128,143702,144472,+,CDS,yadH;ECK0127;NP_414670.1
NC_000913.3,b0129,144577,145017,+,CDS,yadI;agaX;ECK0128;NP_414671.1
NC_000913.3,b0130,145081,146310,+,CDS,yadE;ECK0129;NP_414672.1
NC_000913.3,b0131,146314,146694,-,CDS,panD;ECK0130;NP_414673.1
NC_000913.3,b0132,146968,147870,+,CDS,rpnC;ECK0131;yadD;NP_414674.1
NC_000913.3,b0133,147944,148795,-,CDS,panC;ECK0132;NP_414675.1
NC_000913.3,b0134,148807,149601,-,CDS,panB;ECK0133;NP_414676.1
NC_000913.3,b0135,149715,150953,-,CDS,yadC;ECK0134;NP_414677.1
NC_000913.3,b0136,151003,151599,-,CDS,yadK;ECK0135;NP_414678.1
NC_000913.3,b0137,151626,152231,-,CDS,yadL;ECK0136;NP_414679.1
NC_000913.3,b0138,152243,152812,-,CDS,yadM;ECK0137;NP_414680.4
NC_000913.3,b0139,152829,155426,-,CDS,htrE;ECK0138;NP_414681.1
NC_000913.3,b0140,155461,156201,-,CDS,yadV;ECK0139;ecpD;NP_414682.1
NC_000913.3,b0141,156299,156883,-,CDS,yadN;ECK0140;NP_414683.1
NC_000913.3,b0142,157253,157732,-,CDS,folK;ECK0141;NP_414684.1
NC_000913.3,b0143,157729,159126,-,CDS,pcnB;ECK0142;NP_414685.4
NC_000913.3,b0144,159186,160112,-,CDS,gluQ;ECK0143;yadB;NP_414686.3
NC_000913.3,b0145,160149,160604,-,CDS,dksA;ECK0144;msmA;NP_414687.1
NC_000913.3,b0146,160782,161486,-,CDS,sfsA;ECK0145;sfs;sfs1;NP_414688.1
NC_000913.3,b0147,161501,162031,-,CDS,thpR;ECK0146;ligT;yadP;NP_414689.4
NC_000913.3,b0148,162105,164534,+,CDS,hrpB;ECK0147;yadO;NP_414690.4
NC_000913.3,b0149,164730,167264,+,CDS,mrcB;ECK0148;pbpF;ponB;NP_414691.1;YP_010051172.1
NC_000913.3,b0150,167484,169727,+,CDS,fhuA;ECK0149;T1;T5rec;tonA;NP_414692.1
NC_000913.3,b0151,169778,170575,+,CDS,fhuC;ECK0150;NP_414693.1
NC_000913.3,b0152,170575,171465,+,CDS,fhuD;ECK0151;NP_414694.1
NC_000913.3,b0153,171462,173444,+,CDS,fhuB;ECK0152;NP_414695.1
NC_000913.3,b0154,173602,174882,-,CDS,hemL;ECK0153;gsa;popC;NP_414696.1
NC_000913.3,b4765,175048,175095,+,CDS,yadX;ECK4622;YP_010051173.1
NC_000913.3,b0155,175107,176528,+,CDS,clcA;ECK0154;eriC;yadQ;NP_414697.1
NC_000913.3,b4728,176552,176617,+,CDS,yadW;ECK4585;YP_009518738.1
NC_000913.3,b0156,176610,176954,+,CDS,erpA;ECK0155;yadR;NP_414698.1
NC_000913.3,b0157,177001,177624,-,CDS,yadS;ECK0156;NP_414699.1
NC_000913.3,b0158,177662,178462,-,CDS,btuF;ECK0157;yadT;NP_414700.1
NC_000913.3,b0159,178455,179153,-,CDS,mtn;ECK0158;mtnN;pfs;yadA;NP_414701.1
NC_000913.3,b0160,179237,180754,+,CDS,dgt;ECK0159;optA;NP_414702.1
NC_000913.3,b0161,180884,182308,+,CDS,degP;ECK0160;htrA;ptd;NP_414703.1
NC_000913.3,b0162,182463,183620,+,CDS,cdaR;ECK0161;sdaR;yaeG;NP_414704.4
NC_000913.3,b0163,183709,184095,-,CDS,yaeH;ECK0162;NP_414705.1
NC_000913.3,b0164,184257,185069,-,CDS,yaeI;ECK0163;NP_414706.2
NC_000913.3,b0166,185123,185947,-,CDS,dapD;ECK0164;ssa;NP_414708.1
NC_000913.3,b0167,185978,188650,-,CDS,glnD;ECK0165;glnD5;NP_414709.1
NC_000913.3,b0168,188712,189506,-,CDS,map;ECK0166;NP_414710.1
NC_000913.3,b4414,189712,189847,+,ncRNA,tff;ECK0167;t44
NC_000913.3,b0169,189874,190599,+,CDS,rpsB;ECK0168;NP_414711.1
NC_000913.3,b0170,190857,191708,+,CDS,tsf;ECK0169;NP_414712.1
NC_000913.3,b0171,191855,192580,+,CDS,pyrH;ECK0170;smbA;umk;NP_414713.1
NC_000913.3,b0172,192872,193429,+,CDS,frr;ECK0171;rrf;NP_414714.1
NC_000913.3,b0173,193521,194717,+,CDS,dxr;ECK0172;ispC;yaeM;NP_414715.1
NC_000913.3,b4809,194784,194844,+,ncRNA,ispZ;ECK4666
NC_000913.3,b0174,194903,195664,+,CDS,ispU;ECK0173;rth;uppS;yaeS;NP_414716.1
NC_000913.3,b0175,195677,196534,+,CDS,cdsA;cds;ECK0174;NP_414717.2
NC_000913.3,b0176,196546,197898,+,CDS,rseP;ecfE;ECK0175;yaeL;NP_414718.1
NC_000913.3,b0177,197928,200360,+,CDS,bamA;ecfK;ECK0176;yaeT;yzzN;yzzY;NP_414719.1
NC_000913.3,b0178,200482,200967,+,CDS,skp;ECK0177;firA;hlpA;ompH;NP_414720.1
NC_000913.3,b0179,200971,201996,+,CDS,lpxD;ECK0178;firA;omsA;NP_414721.1
NC_000913.3,b0180,202101,202556,+,CDS,fabZ;ECK0179;sabA1;sefA;sfhC21;yaeA;NP_414722.1
NC_000913.3,b0181,202560,203348,+,CDS,lpxA;ECK0180;NP_414723.1
NC_000913.3,b0182,203348,204496,+,CDS,lpxB;ECK0181;pgsB;NP_414724.1
NC_000913.3,b0183,204493,205089,+,CDS,rnhB;ECK0182;NP_414725.1
NC_000913.3,b0184,205126,208608,+,CDS,dnaE;ECK0183;polC;sdgC;NP_414726.1
NC_000913.3,b0185,208621,209580,+,CDS,accA;ECK0184;NP_414727.1
NC_000913.3,b0186,209679,211820,+,CDS,ldcC;ECK0185;ldc;ldcH;NP_414728.1
NC_000913.3,b0187,211877,212266,+,CDS,yaeR;ECK0186;NP_414729.4
NC_000913.3,b0188,212331,213629,+,CDS,tilS;ECK0187;mesJ;yaeN;NP_414730.1
NC_000913.3,b0189,213678,213932,-,CDS,rof;ECK0188;yaeO;NP_414731.2
NC_000913.3,b4406,213925,214125,-,CDS,yaeP;ECK0189;YP_026160.1
NC_000913.3,b0190,214291,214836,+,CDS,yaeQ;ECK0190;NP_414732.1
NC_000913.3,b0191,214833,215255,+,CDS,arfB;ECK0191;yaeJ;NP_414733.1
NC_000913.3,b0192,215269,215979,+,CDS,nlpE;cutF;ECK0192;NP_414734.1
NC_000913.3,b0193,216179,217003,-,CDS,yaeF;ECK0193;yaeK;NP_414735.4
NC_000913.3,b0194,217057,218775,-,CDS,proS;drp;drpA;ECK0194;NP_414736.1
NC_000913.3,b0195,218887,219594,-,CDS,trmO;ECK0195;tsaA;yaeB;NP_414737.1
NC_000913.3,b0196,219591,219995,-,CDS,rcsF;ECK0196;NP_414738.1
NC_000913.3,b0197,220113,220928,-,CDS,metQ;ECK0197;metD;yaeC;NP_414739.1
NC_000913.3,b0198,220968,221621,-,CDS,metI;ECK0198;metD;yaeE;NP_414740.1
NC_000913.3,b0199,221614,222645,-,CDS,metN;abc;ECK0199;metD;NP_414741.1
NC_000913.3,b0200,222833,223408,+,CDS,gmhB;ECK0200;yaeD;NP_414742.1
NC_000913.3,b0201,223771,225312,+,rRNA,rrsH;ECK0201
NC_000913.3,b0202,225381,225457,+,tRNA,ileV;ECK0202
NC_000913.3,b0203,225500,225575,+,tRNA,alaV;ECK0203
NC_000913.3,b0204,225759,228662,+,rRNA,rrlH;ECK0204
NC_000913.3,b0205,228756,228875,+,rRNA,rrfH;ECK0205
NC_000913.3,b0206,228928,229004,+,tRNA,aspU;ECK0206
NC_000913.3,b0207,229167,229970,+,CDS,dkgB;ECK0207;yafB;NP_414743.1
NC_000913.3,b0208,229967,230881,-,CDS,yafC;ECK0208;NP_414744.1
NC_000913.3,b0209,231122,231922,+,CDS,yafD;ECK0209;NP_414745.1
NC_000913.3,b0210,231926,232549,+,CDS,yafE;ECK0210;NP_414746.1
NC_000913.3,b0211,232597,233955,-,CDS,mltD;dniR;ECK0211;yafG;NP_414747.1
NC_000913.3,b0212,234027,234782,-,CDS,gloB;ECK0212;yafR;NP_414748.1
NC_000913.3,b4815,234288,234320,+,CDS,ykfO;ECK4672;YP_010283908.1
NC_000913.3,b0213,234816,235538,+,CDS,yafS;ECK0213;NP_414749.2
NC_000913.3,b0214,235535,236002,-,CDS,rnhA;cer;dasF;ECK0214;herA;rnh;sdrA;sin;NP_414750.1
NC_000913.3,b0215,236067,236798,+,CDS,dnaQ;ECK0215;mutD;NP_414751.1
NC_000913.3,b0216,236931,237007,+,tRNA,aspV;ECK0216
NC_000913.3,b0217,237335,238120,+,CDS,yafT;ECK0217;NP_414752.1
NC_000913.3,b4586,238257,238736,-,CDS,ykfM;ECK4397;YP_001165307.1
NC_000913.3,b0219,239419,240189,-,CDS,yafV;ECK0220;NP_414754.1
NC_000913.3,b0220,240343,240816,+,CDS,ivy;ECK0221;ykfE;NP_414755.1
NC_000913.3,b0221,240859,243303,-,CDS,fadE;ECK0222;yafH;NP_414756.2
NC_000913.3,b0222,243543,244121,+,CDS,gmhA;ECK0223;lpcA;tfrA;yafI;NP_414757.1
NC_000913.3,b0223,244327,245094,+,CDS,yafJ;ECK0224;NP_414758.1
NC_000913.3,b0224,245065,245805,-,CDS,dpaA;ECK0225;ldtF;yafK;NP_414759.1
NC_000913.3,b0225,245961,246239,-,CDS,yafQ;ECK0226;NP_414760.1
NC_000913.3,b0226,246242,246502,-,CDS,dinJ;ECK0227;sosA;NP_414761.1
NC_000913.3,b0227,246712,247461,+,CDS,yafL;ECK0228;NP_414762.1
NC_000913.3,b0228,247637,248134,+,CDS,rayT;ECK0229;yafM;NP_414763.1
NC_000913.3,b0231,250898,251953,+,CDS,dinB;dinP;ECK0232;NP_414766.1
NC_000913.3,b0232,252005,252298,+,CDS,yafN;ECK0233;NP_414767.1
NC_000913.3,b0233,252301,252699,+,CDS,yafO;ECK0234;NP_414768.1
NC_000913.3,b0234,252709,253161,+,CDS,yafP;ECK0235;NP_414769.1
NC_000913.3,b0237,254259,255716,-,CDS,pepD;ECK0238;pepH;NP_414772.1
NC_000913.3,b0238,255977,256435,+,CDS,gpt;ECK0239;glyD;gpp;gxu;NP_414773.1
NC_000913.3,b0239,256527,257771,+,CDS,frsA;ECK0240;yafA;NP_414774.1
NC_000913.3,b4710,257923,258426,-,CDS,insB9;ECK4567;YP_009518739.1
NC_000913.3,b4709,258345,258620,-,CDS,insA9;ECK4566;YP_009518740.1
NC_000913.3,b0241,259045,260100,-,CDS,phoE;ECK0242;ompE;NP_414776.1
NC_000913.3,b0242,260388,261491,+,CDS,proB;ECK0243;pro(2);pro2;NP_414777.1
NC_000913.3,b0243,261503,262756,+,CDS,proA;ECK0244;pro(1);pro1;NP_414778.1
NC_000913.3,b0244,262871,262946,+,tRNA,thrW;ECK0245
NC_000913.3,b0245,263328,263669,-,CDS,ykfI;ECK0246;NP_414779.1
NC_000913.3,b0246,263690,264007,-,CDS,yafW;ECK0247;NP_414780.1
NC_000913.3,b4504,264026,264247,-,CDS,ykfH;ECK0248;YP_588435.1
NC_000913.3,b0247,264256,264732,-,CDS,ykfG;ECK0249;NP_414781.1
NC_000913.3,b0248,264748,265206,-,CDS,yafX;ECK0250;NP_414782.1
NC_000913.3,b0249,265304,265543,-,CDS,ykfF;ECK0251;NP_414783.1
NC_000913.3,b0250,265620,266087,-,CDS,ykfB;ECK0252;NP_414784.1
NC_000913.3,b0251,266110,266553,-,CDS,yafY;ECK0253;NP_414785.4
NC_000913.3,b0252,267184,268005,-,CDS,yafZ;ECK0254;NP_414786.4
NC_000913.3,b0253,268097,268960,-,CDS,ykfA;ECK0255;NP_414787.4
NC_000913.3,b0254,269289,270182,-,CDS,perR;ECK0256;NP_414788.1
NC_000913.3,b0256,270603,271754,+,CDS,insI1;ECK0258;tra8-1;NP_414790.1
NC_000913.3,b4690,272580,272654,+,ncRNA,eyeA;ECK4506
NC_000913.3,b0258,272847,273992,+,CDS,ykfC;ECK0260;YP_009518741.1
NC_000913.3,b0259,274101,275081,-,CDS,insH1;ECK0261;trs5;trs5-1;yi52_1;NP_414793.2
NC_000913.3,b0260,275325,276728,+,CDS,mmuP;ECK0262;ykfD;NP_414794.4
NC_000913.3,b0261,276715,277647,+,CDS,mmuM;ECK0263;yagD;NP_414795.1
NC_000913.3,b0262,277756,278802,-,CDS,afuC;ECK0264;fbpC;yagC;NP_414796.2
NC_000913.3,b0264,279178,279681,-,CDS,insB2;ECK0022;NP_414798.1
NC_000913.3,b0265,279600,279875,-,CDS,insA2;ECK0023;NP_414799.1
NC_000913.3,b0266,280385,280735,-,CDS,yagB;ECK0267;YP_009518742.1
NC_000913.3,b0267,280829,281983,-,CDS,yagA;ECK0268;NP_414801.1
NC_000913.3,b0268,282278,283186,+,CDS,yagE;ECK0269;NP_414802.2
NC_000913.3,b0269,283201,285168,+,CDS,yagF;ECK0270;NP_414803.1
NC_000913.3,b0270,285395,286777,+,CDS,yagG;ECK0271;NP_414804.1
NC_000913.3,b0271,286789,288399,+,CDS,yagH;ECK0272;NP_414805.1
NC_000913.3,b0272,288404,289162,-,CDS,xynR;ECK0273;yagI;NP_414806.1
NC_000913.3,b0273,289301,290305,-,CDS,argF;ECK0274;NP_414807.1
NC_000913.3,b4766,290275,290370,-,CDS,argL;ECK4623;YP_010051174.1
NC_000913.3,b4688,290510,290638,+,CDS,ykgS;ECK4504;YP_009518743.1
NC_000913.3,b0274,290649,291152,-,CDS,insB3;ECK0022;NP_414808.1
NC_000913.3,b0275,291071,291346,-,CDS,insA3;ECK0023;NP_414809.1
NC_000913.3,b0276,291500,292231,+,CDS,yagJ;ECK0275;YP_009518744.1
NC_000913.3,b0277,292322,292948,-,CDS,yagK;ECK0276;NP_414811.1
NC_000913.3,b0278,293220,293918,-,CDS,yagL;ECK0277;NP_414812.1
NC_000913.3,b0279,293945,294799,-,CDS,yagM;ECK0278;NP_414813.1
NC_000913.3,b4729,294918,295142,-,CDS,ykgV;ECK4586;YP_009518745.1
NC_000913.3,b0280,295139,295579,-,CDS,yagN;ECK0279;NP_414814.1
NC_000913.3,b0281,295696,297096,-,CDS,intF;ECK0280;yagO;NP_414815.1
NC_000913.3,b0282,297381,297791,-,CDS,yagP;b4695;ECK0281;ykgT;YP_009518746.1
NC_000913.3,b0283,297770,298726,-,CDS,paoD;ECK0282;yagQ;NP_414817.1
NC_000913.3,b0284,298736,300934,-,CDS,paoC;ECK0283;yagR;NP_414818.1
NC_000913.3,b0285,300931,301887,-,CDS,paoB;ECK0284;yagS;NP_414819.1
NC_000913.3,b0286,301884,302573,-,CDS,paoA;ECK0285;yagT;NP_414820.1
NC_000913.3,b0287,302991,303605,+,CDS,yagU;ECK0286;NP_414821.1
NC_000913.3,b0288,303853,304182,-,CDS,ykgJ;ECK0287;NP_414822.1
NC_000913.3,b0289,304495,305205,-,CDS,ecpE;ECK0288;matF;yagV;NP_414823.2
NC_000913.3,b0290,305174,306817,-,CDS,ecpD;ECK0289;matE;yagW;NP_414824.1
NC_000913.3,b0291,306807,309332,-,CDS,ecpC;ECK0290;matD;yagX;NP_414825.1
NC_000913.3,b0292,309358,310026,-,CDS,ecpB;ECK0291;matC;yagY;NP_414826.1
NC_000913.3,b0293,310084,310671,-,CDS,ecpA;ECK0292;matB;yagZ;NP_414827.1
NC_000913.3,b0294,310746,311336,-,CDS,matA;ECK0293;ecpR;ykgK;NP_414828.1
NC_000913.3,b0295,312112,312339,+,CDS,ykgL;ECK0294;NP_414829.1
NC_000913.3,b4506,312374,312514,-,CDS,ykgO;ECK0295;YP_588437.1
NC_000913.3,b0296,312514,312777,-,CDS,ykgM;ECK0296;NP_414830.1
