genome,locus_tag,start,end,strand,type,gene_names
NC_000913.2,b0028,25826,26275,+,CDS,fkpB;ECK0029;JW0026;slpA;yaaD;NP_414569.1
NC_000913.2,b0029,26277,27227,+,CDS,ispH;ECK0030;JW0027;lytB;yaaE;NP_414570.1
NC_000913.2,b0030,27293,28207,+,CDS,rihC;ECK0031;JW0028;yaaF;NP_414571.1
NC_000913.2,b0031,28374,29195,+,CDS,dapB;ECK0032;JW0029;NP_414572.1
NC_000913.2,b0032,29651,30799,+,CDS,carA;arg;cap;ECK0033;JW0030;pyrA;NP_414573.1
NC_000913.2,b0033,30817,34038,+,CDS,carB;cap;ECK0034;JW0031;pyrA;NP_414574.1
NC_000913.2,b0034,34300,34695,+,CDS,caiF;ECK0035;JW0033;NP_414576.4
NC_000913.2,b0035,34781,35371,-,CDS,caiE;ECK0036;JW5004;NP_414577.2
NC_000913.2,b0036,35377,36162,-,CDS,caiD;ECK0037;JW0035;yaaL;NP_414578.2
NC_000913.2,b0037,36271,37824,-,CDS,caiC;ECK0038;JW0036;yaaM;NP_414579.4
NC_000913.2,b0038,37898,39115,-,CDS,caiB;ECK0039;JW0037;yaaN;NP_414580.1
NC_000913.2,b0039,39244,40386,-,CDS,caiA;ECK0040;JW0038;yaaO;NP_414581.1
NC_000913.2,b0040,40417,41931,-,CDS,caiT;ECK0041;JW0039;yaaP;NP_414582.1
NC_000913.2,b0041,42403,43173,+,CDS,fixA;ECK0042;JW0040;yaaQ;NP_414583.2
NC_000913.2,b0042,43188,44129,+,CDS,fixB;ECK0043;JW0041;yaaR;NP_414584.1
NC_000913.2,b0043,44180,45466,+,CDS,fixC;ECK0044;JW0042;yaaS;NP_414585.1
NC_000913.2,b0044,45463,45750,+,CDS,fixX;ECK0045;JW0043;yaaT;NP_414586.1
NC_000913.2,b0045,45807,47138,+,CDS,yaaU;ECK0046;JW0044;yabE;NP_414587.1
NC_000913.2,b0046,47246,47776,+,CDS,kefF;ECK0047;JW0045;yabF;NP_414588.1
NC_000913.2,b0047,47769,49631,+,CDS,kefC;ECK0048;JW0046;trkC;NP_414589.1
NC_000913.2,b0048,49823,50302,+,CDS,folA;ECK0049;JW0047;tmrA;NP_414590.1
NC_000913.2,b0049,50380,51222,-,CDS,apaH;cfcB;ECK0050;JW0048;NP_414591.1
NC_000913.2,b0050,51229,51606,-,CDS,apaG;corD;ECK0051;JW0049;temP;NP_414592.1
NC_000913.2,b0051,51609,52430,-,CDS,rsmA;ECK0052;JW0050;ksgA;NP_414593.1
NC_000913.2,b0052,52427,53416,-,CDS,pdxA;ECK0053;JW0051;NP_414594.1
NC_000913.2,b0053,53416,54702,-,CDS,surA;ECK0054;JW0052;NP_414595.1
NC_000913.2,b0054,54755,57109,-,CDS,lptD;ECK0055;imp;JW0053;ostA;yabG;NP_414596.1
NC_000913.2,b0055,57364,58179,+,CDS,djlA;ECK0056;JW0054;yabH;NP_414597.1
NC_000913.2,b0058,59687,60346,-,CDS,rluA;ECK0059;JW0057;yabO;NP_414600.1
NC_000913.2,b0059,60358,63264,-,CDS,rapA;ECK0060;hepA;JW0058;yabA;NP_414601.1
NC_000913.2,b0060,63429,65780,-,CDS,polB;dinA;ECK0061;JW0059;NP_414602.1
NC_000913.2,b0061,65855,66550,-,CDS,araD;ECK0062;JW0060;NP_414603.1
NC_000913.2,b0062,66835,68337,-,CDS,araA;ECK0063;JW0061;NP_414604.1
NC_000913.2,b0063,68348,70048,-,CDS,araB;ECK0064;JW0062;NP_414605.1
NC_000913.2,b0064,70387,71265,+,CDS,araC;ECK0065;JW0063;NP_414606.1
NC_000913.2,b0065,71351,72115,+,CDS,yabI;ECK0066;JW5005;NP_414607.1
NC_000913.2,b0066,72229,72927,-,CDS,thiQ;ECK0067;JW0065;sfuC;yabJ;NP_414608.1
NC_000913.2,b0067,72911,74521,-,CDS,thiP;ECK0068;JW0066;sfuB;yabK;NP_414609.1
NC_000913.2,b0068,74497,75480,-,CDS,thiB;ECK0069;JW0067;sfuA;tbpA;yabL;NP_414610.1
NC_000913.2,b0069,75644,77299,-,CDS,sgrR;ECK0070;JW0068;yabN;NP_414611.1
NC_000913.2,b4577,77367,77593,+,antisense_RNA,sgrS;ECK0071;JWR0259;ryaA
NC_000913.2,b4662,77388,77519,+,CDS,sgrT;ECK4477;YP_002791237.1
NC_000913.2,b0070,77621,78799,+,CDS,setA;ECK0072;JW0069;yabM;YP_025293.1
NC_000913.2,b0071,78848,79453,-,CDS,leuD;ECK0073;JW0070;NP_414613.1
NC_000913.2,b0072,79464,80864,-,CDS,leuC;ECK0074;JW0071;NP_414614.1
NC_000913.2,b0073,80867,81958,-,CDS,leuB;ECK0075;JW5807;NP_414615.4
NC_000913.2,b0074,81958,83529,-,CDS,leuA;ECK0076;JW0073;NP_414616.1
NC_000913.2,b0075,83622,83708,-,CDS,leuL;ECK0077;JW0074;leuLP;NP_414617.1
NC_000913.2,b0076,84368,85312,+,CDS,leuO;ECK0078;JW0075;NP_414618.4
NC_000913.2,b0077,85630,87354,+,CDS,ilvI;ECK0079;JW0076;YP_025294.2
NC_000913.2,b0078,87357,87848,+,CDS,ilvH;brnP;ECK0080;JW0077;NP_414620.1
NC_000913.2,b0080,88028,89032,+,CDS,cra;ECK0081;fruC;fruR;fruS?;JW0078;serR?;shl;NP_414622.1
NC_000913.2,b0081,89634,90092,+,CDS,mraZ;ECK0082;JW0079;yabB;NP_414623.1
NC_000913.2,b0082,90094,91035,+,CDS,rsmH;ECK0083;JW0080;mraW;yabC;NP_414624.1
NC_000913.2,b0083,91032,91397,+,CDS,ftsL;ECK0084;JW0081;mraR;yabD;NP_414625.1
NC_000913.2,b0084,91413,93179,+,CDS,ftsI;ECK0085;JW0082;pbpB;sep;NP_414626.1
NC_000913.2,b0085,93166,94653,+,CDS,murE;ECK0086;JW0083;NP_414627.1
NC_000913.2,b0086,94650,96008,+,CDS,murF;ECK0087;JW0084;mra;NP_414628.1
NC_000913.2,b0087,96002,97084,+,CDS,mraY;ECK0088;JW0085;murX;NP_414629.1
NC_000913.2,b0088,97087,98403,+,CDS,murD;ECK0089;JW0086;NP_414630.1
NC_000913.2,b0089,98403,99647,+,CDS,ftsW;ECK0090;JW0087;NP_414631.1
NC_000913.2,b0090,99644,100711,+,CDS,murG;ECK0091;JW0088;NP_414632.1
NC_000913.2,b0091,100765,102240,+,CDS,murC;ECK0092;JW0089;NP_414633.1
NC_000913.2,b0092,102233,103153,+,CDS,ddlB;ddl;ECK0093;JW0090;NP_414634.1
NC_000913.2,b0093,103155,103985,+,CDS,ftsQ;ECK0094;JW0091;NP_414635.1
NC_000913.2,b0094,103982,105244,+,CDS,ftsA;divA;ECK0095;JW0092;NP_414636.1
NC_000913.2,b0095,105305,106456,+,CDS,ftsZ;ECK0096;JW0093;sfiB;sulB;NP_414637.1
NC_000913.2,b0096,106557,107474,+,CDS,lpxC;asmB;ECK0097;envA;JW0094;NP_414638.1
NC_000913.2,b0097,107705,108217,+,CDS,secM;ECK0098;JW5007;srrA;yacA;NP_414639.2
NC_000913.2,b0098,108279,110984,+,CDS,secA;azi;ECK0099;JW0096;pea;prlD;NP_414640.1
NC_000913.2,b0099,111044,111433,+,CDS,mutT;ECK0100;JW0097;nudA;NP_414641.1
NC_000913.2,b0101,111649,111846,-,CDS,yacG;ECK0101;JW5008;NP_414643.1
NC_000913.2,b0102,111856,112599,-,CDS,zapD;ECK0102;JW0099;yacF;NP_414644.1
NC_000913.2,b0103,112599,113219,-,CDS,coaE;ECK0103;JW0100;yacE;NP_414645.1
NC_000913.2,b0104,113444,114487,+,CDS,guaC;ECK0104;JW0101;NP_414646.1
NC_000913.2,b0106,114522,115724,-,CDS,hofC;ECK0105;hopC;JW0102;yacD;NP_414648.1
NC_000913.2,b0107,115714,117099,-,CDS,hofB;ECK0106;hopB;JW0103;NP_414649.1
NC_000913.2,b0108,117109,117549,-,CDS,ppdD;ECK0107;JW0104;NP_414650.1
NC_000913.2,b0109,117752,118645,-,CDS,nadC;ECK0108;JW0105;NP_414651.1
NC_000913.2,b0110,118733,119284,+,CDS,ampD;ECK0109;JW0106;NP_414652.1
NC_000913.2,b0111,119281,120135,+,CDS,ampE;ECK0110;JW0107;NP_414653.1
NC_000913.2,b0112,120178,121551,-,CDS,aroP;ECK0111;JW0108;NP_414654.1
NC_000913.2,b0113,122092,122856,+,CDS,pdhR;aceC;ECK0112;genA;JW0109;yacB;NP_414655.1
NC_000913.2,b0114,123017,125680,+,CDS,aceE;ECK0113;JW0110;NP_414656.1
NC_000913.2,b0115,125695,127587,+,CDS,aceF;ECK0114;JW0111;NP_414657.1
NC_000913.2,b0116,127912,129336,+,CDS,lpd;dhl;ECK0115;JW0112;lpdA;NP_414658.1
NC_000913.2,b0117,129407,131260,-,CDS,yacH;ECK0116;JW0113;NP_414659.1
NC_000913.2,b0118,131615,134212,+,CDS,acnB;ECK0117;JW0114;yacI;yacJ;NP_414660.1
NC_000913.2,b0119,134388,134750,+,CDS,yacL;ECK0118;JW0115;NP_414661.2
NC_000913.2,b0120,134788,135582,-,CDS,speD;ECK0119;JW0116;NP_414662.1
NC_000913.2,b0121,135598,136464,-,CDS,speE;ECK0120;JW0117;NP_414663.1
NC_000913.2,b0122,136570,136917,-,CDS,yacC;ECK0121;gspS;JW0118;NP_414664.4
NC_000913.2,b0123,137083,138633,+,CDS,cueO;cuiD;ECK0122;JW0119;yacK;NP_414665.1
NC_000913.2,b0124,138835,141225,-,CDS,gcd;ECK0123;JW0120;NP_414666.1
NC_000913.2,b0125,141431,141967,+,CDS,hpt;ECK0124;JW5009;NP_414667.4
NC_000913.2,b0126,142008,142670,-,CDS,can;ECK0125;JW0122;yadF;NP_414668.1
NC_000913.2,b0127,142779,143705,+,CDS,yadG;ECK0126;JW0123;NP_414669.1
NC_000913.2,b0128,143702,144472,+,CDS,yadH;ECK0127;JW0124;NP_414670.1
NC_000913.2,b0129,144577,145017,+,CDS,yadI;agaX;ECK0128;JW0125;NP_414671.1
NC_000913.2,b0130,145081,146310,+,CDS,yadE;ECK0129;JW0126;NP_414672.1
NC_000913.2,b0131,146314,146694,-,CDS,panD;ECK0130;JW0127;NP_414673.1
NC_000913.2,b0132,146968,147870,+,CDS,yadD;ECK0131;JW5010;NP_414674.1
NC_000913.2,b0133,147944,148795,-,CDS,panC;ECK0132;JW0129;NP_414675.1
NC_000913.2,b0134,148807,149601,-,CDS,panB;ECK0133;JW0130;panA;NP_414676.1
NC_000913.2,b0135,149715,150953,-,CDS,yadC;ECK0134;JW0131;NP_414677.1
NC_000913.2,b0136,151003,151599,-,CDS,yadK;ECK0135;JW0132;NP_414678.1
NC_000913.2,b0137,151626,152231,-,CDS,yadL;ECK0136;JW0133;NP_414679.1
NC_000913.2,b0138,152243,152812,-,CDS,yadM;ECK0137;JW0134;NP_414680.4
NC_000913.2,b0139,152829,155426,-,CDS,htrE;ECK0138;JW0135;NP_414681.1
NC_000913.2,b0140,155461,156201,-,CDS,yadV;ECK0139;ecpD;JW0136;NP_414682.1
NC_000913.2,b0141,156299,156883,-,CDS,yadN;ECK0140;JW0137;NP_414683.1
NC_000913.2,b0142,157253,157732,-,CDS,folK;ECK0141;JW0138;NP_414684.1
NC_000913.2,b0143,157729,159126,-,CDS,pcnB;ECK0142;JW5808;NP_414685.4
NC_000913.2,b0144,159186,160112,-,CDS,gluQ;ECK0143;JW5892;yadB;NP_414686.3
NC_000913.2,b0145,160149,160604,-,CDS,dksA;ECK0144;JW0141;msmA;NP_414687.1
NC_000913.2,b0146,160782,161486,-,CDS,sfsA;ECK0145;JW0142;sfs;sfs1;NP_414688.1
NC_000913.2,b0147,161501,162031,-,CDS,ligT;ECK0146;JW5011;yadP;NP_414689.4
NC_000913.2,b0148,162105,164534,+,CDS,hrpB;ECK0147;JW0144;yadO;NP_414690.4
NC_000913.2,b0149,164730,167264,+,CDS,mrcB;ECK0148;JW0145;pbpF;ponB;NP_414691.1
NC_000913.2,b0150,167484,169727,+,CDS,fhuA;ECK0149;JW0146;T1;tonA;NP_414692.1
NC_000913.2,b0151,169778,170575,+,CDS,fhuC;ECK0150;JW0147;NP_414693.1
NC_000913.2,b0152,170575,171465,+,CDS,fhuD;ECK0151;JW0148;NP_414694.1
NC_000913.2,b0153,171462,173444,+,CDS,fhuB;ECK0152;JW0149;NP_414695.1
NC_000913.2,b0154,173602,174882,-,CDS,hemL;ECK0153;gsa?;JW0150;popC;NP_414696.1
NC_000913.2,b0155,175107,176528,+,CDS,clcA;ECK0154;eriC;JW5012;yadQ;NP_414697.1
NC_000913.2,b0156,176610,176954,+,CDS,erpA;ECK0155;JW0152;yadR;NP_414698.1
NC_000913.2,b0157,177001,177624,-,CDS,yadS;ECK0156;JW0153;NP_414699.1
NC_000913.2,b0158,177662,178462,-,CDS,btuF;ECK0157;JW0154;yadT;NP_414700.1
NC_000913.2,b0159,178455,179153,-,CDS,mtn;ECK0158;JW0155;mtnN;pfs;yadA;NP_414701.1
NC_000913.2,b0160,179237,180754,+,CDS,dgt;ECK0159;JW0156;optA;NP_414702.1
NC_000913.2,b0161,180884,182308,+,CDS,degP;ECK0160;htrA;JW0157;ptd;NP_414703.1
NC_000913.2,b0162,182463,183620,+,CDS,cdaR;ECK0161;JW5013;sdaR;yaeG;NP_414704.4
NC_000913.2,b0163,183709,184095,-,CDS,yaeH;ECK0162;JW0159;NP_414705.1
NC_000913.2,b0164,184257,185069,-,CDS,yaeI;ECK0163;JW5014;NP_414706.2
NC_000913.2,b0166,185123,185947,-,CDS,dapD;ECK0164;JW0161;ssa;NP_414708.1
NC_000913.2,b0167,185978,188650,-,CDS,glnD;ECK0165;JW0162;NP_414709.1
NC_000913.2,b0168,188712,189506,-,CDS,map;ECK0166;JW0163;pepM;NP_414710.1
NC_000913.2,b4414,189712,189847,+,ncRNA,tff;ECK0167;JWR0225;t44
NC_000913.2,b0169,189874,190599,+,CDS,rpsB;ECK0168;JW0164;NP_414711.1
NC_000913.2,b0170,190857,191708,+,CDS,tsf;ECK0169;JW0165;NP_414712.1
NC_000913.2,b0171,191855,192580,+,CDS,pyrH;ECK0170;JW0166;smbA;umk;NP_414713.1
NC_000913.2,b0172,192872,193429,+,CDS,frr;ECK0171;JW0167;rrf;NP_414714.1
NC_000913.2,b0173,193521,194717,+,CDS,dxr;ECK0172;ispC;JW0168;yaeM;NP_414715.1
NC_000913.2,b0174,194903,195664,+,CDS,ispU;ECK0173;JW0169;rth;uppS;yaeS;NP_414716.1
NC_000913.2,b0175,195677,196534,+,CDS,cdsA;ECK0174;JW5810;NP_414717.2
NC_000913.2,b0176,196546,197898,+,CDS,rseP;ecfE;ECK0175;JW0171;yaeL;NP_414718.1
NC_000913.2,b0177,197928,200360,+,CDS,bamA;ecfK;ECK0176;JW0172;omp85;yaeT;yzzN;yzzY;NP_414719.1
NC_000913.2,b0178,200482,200967,+,CDS,skp;ECK0177;hlpA;JW0173;ompH;NP_414720.1
NC_000913.2,b0179,200971,201996,+,CDS,lpxD;ECK0178;firA;JW0174;omsA;ssc;NP_414721.1
NC_000913.2,b0180,202101,202556,+,CDS,fabZ;ECK0179;JW0175;sabA;sefA;sfhC;yaeA;NP_414722.1
NC_000913.2,b0181,202560,203348,+,CDS,lpxA;ECK0180;JW0176;NP_414723.1
NC_000913.2,b0182,203348,204496,+,CDS,lpxB;ECK0181;JW0177;pgsB;NP_414724.1
NC_000913.2,b0183,204493,205089,+,CDS,rnhB;ECK0182;JW0178;NP_414725.1
NC_000913.2,b0184,205126,208608,+,CDS,dnaE;ECK0183;JW0179;polC;sdgC;NP_414726.1
NC_000913.2,b0185,208621,209580,+,CDS,accA;ECK0184;JW0180;NP_414727.1
NC_000913.2,b0186,209679,211820,+,CDS,ldcC;ECK0185;JW0181;ldc;LDC2;ldcH;NP_414728.1
NC_000913.2,b0187,211877,212266,+,CDS,yaeR;ECK0186;JW0182;NP_414729.4
NC_000913.2,b0188,212331,213629,+,CDS,tilS;ECK0187;JW0183;mesJ;yaeN;NP_414730.1
NC_000913.2,b0189,213678,213932,-,CDS,rof;ECK0188;JW0184;mesJ;yaeO;NP_414731.2
NC_000913.2,b4406,213925,214125,-,CDS,yaeP;ECK0189;JW0185;YP_026160.1
NC_000913.2,b0190,214291,214836,+,CDS,yaeQ;ECK0190;JW0186;NP_414732.1
NC_000913.2,b0191,214833,215255,+,CDS,arfB;ECK0191;JW0187;yaeJ;NP_414733.1
NC_000913.2,b0192,215269,215979,+,CDS,nlpE;cutF;ECK0192;JW0188;NP_414734.1
NC_000913.2,b0193,216179,217003,-,CDS,yaeF;ECK0193;JW5016;yaeK;NP_414735.4
NC_000913.2,b0194,217057,218775,-,CDS,proS;drpA;ECK0194;JW0190;NP_414736.1
NC_000913.2,b0195,218887,219594,-,CDS,tsaA;ECK0195;JW0191;yaeB;NP_414737.1
NC_000913.2,b0196,219591,219995,-,CDS,rcsF;ECK0196;JW0192;NP_414738.1
NC_000913.2,b0197,220113,220928,-,CDS,metQ;ECK0197;JW0193;metD;yaeC;NP_414739.1
NC_000913.2,b0198,220968,221621,-,CDS,metI;ECK0198;JW0194;metD;yaeE;NP_414740.1
NC_000913.2,b0199,221614,222645,-,CDS,metN;abc;ECK0199;JW0195;metD;NP_414741.1
NC_000913.2,b0200,222833,223408,+,CDS,gmhB;ECK0200;gmbC;gmbX;gmhX;JW0196;wcbN;yaeD;NP_414742.1
NC_000913.2,b0201,223771,225312,+,rRNA,rrsH;ECK0201;JWR0001
NC_000913.2,b0202,225381,225457,+,tRNA,ileV;ECK0202;JWR0002
NC_000913.2,b0203,225500,225575,+,tRNA,alaV;ECK0203;JWR0003
NC_000913.2,b0204,225759,228662,+,rRNA,rrlH;ECK0204;JWR0004
NC_000913.2,b0205,228756,228875,+,rRNA,rrfH;ECK0205;JWR0005
NC_000913.2,b0206,228928,229004,+,tRNA,aspU;ECK0206;JWR0006
NC_000913.2,b0207,229167,229970,+,CDS,dkgB;ECK0207;JW0197;yafB;NP_414743.1
NC_000913.2,b0208,229967,230881,-,CDS,yafC;ECK0208;JW0198;NP_414744.1
NC_000913.2,b0209,231122,231922,+,CDS,yafD;ECK0209;JW5017;NP_414745.1
NC_000913.2,b0210,231926,232549,+,CDS,yafE;ECK0210;JW0200;NP_414746.1
NC_000913.2,b0211,232597,233955,-,CDS,mltD;dniR;ECK0211;JW5018;yafG;NP_414747.1
NC_000913.2,b0212,234027,234782,-,CDS,gloB;ECK0212;JW0202;yafR;NP_414748.1
NC_000913.2,b0213,234816,235538,+,CDS,yafS;ECK0213;JW0203;NP_414749.2
NC_000913.2,b0214,235535,236002,-,CDS,rnhA;cer;dasF;ECK0214;herA;JW0204;rnh;sdrA;sin;NP_414750.1
NC_000913.2,b0215,236067,236798,+,CDS,dnaQ;ECK0215;JW0205;mutD;NP_414751.1
NC_000913.2,b0216,236931,237007,+,tRNA,aspV;ECK0216;JWR0007
NC_000913.2,b0217,237335,238120,+,CDS,yafT;ECK0217;JW0206;NP_414752.1
NC_000913.2,b4586,238257,238736,-,CDS,ykfM;ECK4397;YP_001165307.1
NC_000913.2,b0219,239419,240189,-,CDS,yafV;ECK0220;JW5019;NP_414754.1
NC_000913.2,b0220,240343,240816,+,CDS,ivy;ECK0221;JW0210;ykfE;NP_414755.1
NC_000913.2,b0221,240859,243303,-,CDS,fadE;ECK0222;fadF;JW5020;yafH;NP_414756.2
NC_000913.2,b0222,243543,244121,+,CDS,gmhA;ECK0223;isn;JW0212;lpcA;tfrA;yafI;NP_414757.1
NC_000913.2,b0223,244327,245094,+,CDS,yafJ;ECK0224;JW0213;NP_414758.1
NC_000913.2,b0224,245065,245805,-,CDS,yafK;ECK0225;JW0214;NP_414759.1
NC_000913.2,b0225,245961,246239,-,CDS,yafQ;ECK0226;JW0215;NP_414760.1
NC_000913.2,b0226,246242,246502,-,CDS,dinJ;ECK0227;JW0216;sosA;NP_414761.1
NC_000913.2,b0227,246712,247461,+,CDS,yafL;ECK0228;JW0217;NP_414762.1
NC_000913.2,b0228,247637,248134,+,CDS,rayT;ECK0229;JW0218;tnpAREP;yafM;NP_414763.1
NC_000913.2,b0231,250898,251953,+,CDS,dinB;dinP;ECK0232;JW0221;NP_414766.1
NC_000913.2,b0232,252005,252298,+,CDS,yafN;ECK0233;JW0222;NP_414767.1
NC_000913.2,b0233,252301,252699,+,CDS,yafO;ECK0234;JW0223;NP_414768.1
NC_000913.2,b0234,252709,253161,+,CDS,yafP;ECK0235;JW0224;NP_414769.1
NC_000913.2,b0237,254259,255716,-,CDS,pepD;ECK0238;JW0227;pepH;NP_414772.1
NC_000913.2,b0238,255977,256435,+,CDS,gpt;ECK0239;gpp;gxu;JW0228;NP_414773.1
NC_000913.2,b0239,256527,257771,+,CDS,frsA;ECK0240;JW0229;yafA;NP_414774.1
NC_000913.2,b0240,257829,258230,+,CDS,crl;ECK0241;JW0230;NP_414775.1
NC_000913.2,b0241,258269,259324,-,CDS,phoE;ECK0242;JW0231;ompE;NP_414776.1
NC_000913.2,b0242,259612,260715,+,CDS,proB;ECK0243;JW0232;pro;NP_414777.1
NC_000913.2,b0243,260727,261980,+,CDS,proA;ECK0244;JW0233;pro;NP_414778.1
NC_000913.2,b0244,262095,262170,+,tRNA,thrW;ECK0245;JWR0008
NC_000913.2,b0245,262552,262893,-,CDS,ykfI;ECK0246;JW0234;NP_414779.1
NC_000913.2,b0246,262914,263231,-,CDS,yafW;ECK0247;JW0235;NP_414780.1
NC_000913.2,b4504,263250,263471,-,CDS,ykfH;ECK0248;JW5956;YP_588435.1
NC_000913.2,b0247,263480,263956,-,CDS,ykfG;ECK0249;JW0236;NP_414781.1
NC_000913.2,b0248,263972,264430,-,CDS,yafX;ECK0250;JW5022;NP_414782.1
NC_000913.2,b0249,264528,264767,-,CDS,ykfF;ECK0251;JW5023;NP_414783.1
NC_000913.2,b0250,264844,265311,-,CDS,ykfB;ECK0252;JW0239;NP_414784.1
NC_000913.2,b0251,265334,265777,-,CDS,yafY;ECK0253;JW0240;NP_414785.4
NC_000913.2,b0252,266408,267229,-,CDS,yafZ;ECK0254;JW0242;NP_414786.4
NC_000913.2,b0253,267321,268184,-,CDS,ykfA;ECK0255;JW0243;NP_414787.4
NC_000913.2,b0254,268513,269406,-,CDS,perR;ECK0256;JW0244;NP_414788.1
NC_000913.2,b0256,269827,270978,+,CDS,insI1;ECK0258;NP_414790.1
NC_000913.2,b4690,271804,271878,+,ncRNA,eyeA;ECK4506;I001
NC_000913.2,b0259,273325,274341,-,CDS,insH1;ECK0261;NP_414793.1
NC_000913.2,b0260,274549,275952,+,CDS,mmuP;ECK0262;JW5027;ykfD;NP_414794.4
NC_000913.2,b0261,275939,276871,+,CDS,mmuM;ECK0263;JW0253;yagD;NP_414795.1
NC_000913.2,b0262,276980,278026,-,CDS,afuC;ECK0264;fbpC;JW0254;yagC;NP_414796.2
NC_000913.2,b0264,278402,278905,-,CDS,insB1;ECK0022;NP_414798.1
NC_000913.2,b0265,278824,279099,-,CDS,insA;ECK4521;NP_414799.1
NC_000913.2,b0267,280053,281207,-,CDS,yagA;ECK0268;JW0260;NP_414801.1
NC_000913.2,b0268,281502,282410,+,CDS,yagE;ECK0269;JW0261;NP_414802.2
NC_000913.2,b0269,282425,284392,+,CDS,yagF;ECK0270;JW0262;NP_414803.1
NC_000913.2,b0270,284619,286001,+,CDS,yagG;ECK0271;JW0263;NP_414804.1
NC_000913.2,b0271,286013,287623,+,CDS,yagH;ECK0272;JW0264;NP_414805.1
NC_000913.2,b0272,287628,288386,-,CDS,yagI;ECK0273;JW0265;NP_414806.1
NC_000913.2,b0273,288525,289529,-,CDS,argF;Arg5;argD;ECK0274;JW0266;NP_414807.1
NC_000913.2,b0274,289873,290376,-,CDS,insB1;ECK0022;NP_414808.1
NC_000913.2,b0275,290295,290570,-,CDS,insA;ECK4523;NP_414809.1
NC_000913.2,b0277,291546,292172,-,CDS,yagK;ECK0276;JW0271;NP_414811.1
NC_000913.2,b0278,292444,293142,-,CDS,yagL;ECK0277;JW0272;NP_414812.1
NC_000913.2,b0279,293169,294023,-,CDS,yagM;ECK0278;JW0273;NP_414813.1
NC_000913.2,b0280,294363,294803,-,CDS,yagN;ECK0279;JW0274;NP_414814.1
NC_000913.2,b0281,294920,296320,-,CDS,intF;ECK0280;JW0275;yagO;NP_414815.1
NC_000913.2,b0283,296994,297950,-,CDS,paoD;ECK0282;JW0277;yagQ;NP_414817.1
NC_000913.2,b0284,297960,300158,-,CDS,paoC;ECK0283;hsm;JW0278;yagR;NP_414818.1
NC_000913.2,b0285,300155,301111,-,CDS,paoB;ECK0284;JW0279;yagS;NP_414819.1
NC_000913.2,b0286,301108,301797,-,CDS,paoA;ECK0285;JW0280;yagT;NP_414820.1
NC_000913.2,b0287,302215,302829,+,CDS,yagU;ECK0286;JW0281;NP_414821.1
NC_000913.2,b0288,303077,303406,-,CDS,ykgJ;ECK0287;JW0282;NP_414822.1
