locus_tag,mutation_density,mutation_count,start,middle,end,avg_length,strand,type,gc_content,cpg_excess,asymmetry,binary_asymmetry,distance_from_oric,relative_distance_from_oric,relative_distance_oscillating_triangle,relative_distance_oscillating_cosine,essentiality_pec,binary_pec,essentiality_gerdes,binary_gerdes,transcript,protein_abundance_pax,protein_abundance_lb,gene_names
b0011,0.00140056,1,10643,11000,11356,714,-,CDS,0.508403361,1.049035813,lagging,0,726792,0.313160918,0.626321835,0.832621369,NE,0,NE,0,2.286203,0.505,0,yaaW;ECK0011;NP_414552.1
b0013,0,0,11382,11584.5,11786,405,-,CDS,0.488888889,1.416666667,lagging,0,727376.5,0.313412768,0.626825535,0.833059314,NE,0,NE,0,1.9238835,0.419,0,yaaI;ECK0013;NP_414554.1
b0014,0,0,12163,13121.5,14079,1917,+,CDS,0.511215441,1.110841063,leading,1,728913.5,0.314075032,0.628150064,0.834208444,NE,0,E,1,680.2519835,6182,42936,dnaK;ECK0014;groPAB;groPC;groPF;grpC;grpF;seg;NP_414555.1
b0015,0,0,14168,14733.5,15298,1131,+,CDS,0.551724138,1.187580571,leading,1,730525.5,0.314769612,0.629539224,0.835409768,NE,0,NE,0,123.8274115,242,1461,dnaJ;ECK0015;groP;grpC;NP_414556.1
b0016,0,0,15445,16001.5,16557,1113,+,CDS,0.519317161,1.109044852,leading,1,731793.5,0.315315969,0.630631939,0.836351935,NE,0,NE,0,30.869932,1.3,0,insL1;ECK0016;yi81-1;NP_414557.1
b0018,0,0,16751,16856,16960,210,-,CDS,0.514285714,1.020833333,lagging,0,732648,0.315684157,0.631368315,0.836985468,NE,0,NE,0,13.2390645,1.00E-07,0,mokC;ECK0018;gefL;NP_414559.1
b0019,0,0,17489,18072.5,18655,1167,+,CDS,0.514138817,1.053356049,leading,1,733864.5,0.316208324,0.632416648,0.837885459,NE,0,NE,0,60.2520695,11.1,0,nhaA;ant;antA;ECK0020;NP_414560.1
b0020,0,0,18715,19168,19620,906,+,CDS,0.474613687,1.120678805,leading,1,734960,0.316680354,0.633360709,0.838693987,NE,0,NE,0,25.790735,0.925,0,nhaR;antO;ECK0021;yaaB;NP_414561.1
b0022,0,0,20233,20371,20508,276,-,CDS,0.528985507,0.940909091,lagging,0,736163,0.317198704,0.634397409,0.83957973,NE,0,E,1,6.731335,0.515,0,insA1;ECK0023;NP_414563.1
b0023,0,0,20815,20947,21078,264,-,CDS,0.465909091,1.052631579,lagging,0,736739,0.317446892,0.634893784,0.840003039,NE,0,E,1,532.281555,4661,57237,rpsT;ECK0024;sup(s20);supS;supS20;NP_414564.1
b0024,0,0,21181,21290.5,21399,219,+,CDS,0.488584475,1.225174825,leading,1,737082.5,0.317594899,0.635189799,0.840255238,NE,0,NE,0,27.907697,1.00E-07,0,yaaY;ECK0025;NP_414565.1
b0025,0,0,21407,21878,22348,942,+,CDS,0.536093418,1.268817545,leading,1,737670,0.317848042,0.635696084,0.840686161,E,1,E,1,123.446659,39.8,117,ribF;ECK0026;yaaC;NP_414566.1
b0026,0,0,22391,23799.5,25207,2817,+,CDS,0.557685481,1.180752135,leading,1,739591.5,0.31867598,0.63735196,0.842091839,E,1,E,1,176.940445,538,2408,ileS;ECK0027;ilvS;NP_414567.1
b0027,0,0,25207,25454.5,25701,495,+,CDS,0.535353535,1.217398765,leading,1,741246.5,0.319389088,0.638778176,0.843297993,E,1,E,1,114.350731,0.451,0,lspA;ECK0028;lsp;NP_414568.1
b0028,0,0,25826,26051,26275,450,+,CDS,0.544444444,1.08,leading,1,741843,0.319646109,0.639292218,0.843731681,NE,0,NE,0,83.3790055,260,749,fkpB;ECK0029;slpA;yaaD;NP_414569.1
b0029,0.001051525,1,26277,26752.5,27227,951,+,CDS,0.550998948,1.310499644,leading,1,742544.5,0.319948372,0.639896744,0.844241006,E,1,E,1,62.9508095,101,590,ispH;ECK0030;lytB;yaaE;NP_414570.1
b0030,0.001092896,1,27293,27750.5,28207,915,+,CDS,0.56284153,1.021205357,leading,1,743542.5,0.320378391,0.640756782,0.844964293,NE,0,NE,0,8.3482575,74.6,1084,rihC;ECK0031;yaaF;NP_414571.1
b0031,0,0,28374,28785,29195,822,+,CDS,0.53406326,1.207022771,leading,1,744577,0.320824138,0.641648275,0.845712406,E,1,E,1,52.3127005,287,1689,dapB;ECK0032;NP_414572.1
b0032,0.000870322,1,29651,30225.5,30799,1149,+,CDS,0.533507398,1.174871653,leading,1,746017.5,0.321444822,0.642889644,0.846751359,NE,0,NE,0,18.086037,692,1186,carA;arg;ECK0033;pyrA;NP_414573.1
b0033,0.000310366,1,30817,32428,34038,3222,+,CDS,0.562693979,1.305803768,leading,1,748220,0.322393837,0.644787675,0.848333676,NE,0,NE,0,23.0881225,666,241,carB;ECK0034;pyrA;NP_414574.1
b0034,0,0,34300,34498,34695,396,+,CDS,0.45959596,1.337837838,leading,1,750290,0.323285761,0.646571522,0.849813929,NE,0,NE,0,6.765247,1.00E-07,0,caiF;ECK0035;NP_414576.4
b0035,0,0,34781,35076.5,35371,591,-,CDS,0.549915398,1.175087719,lagging,0,750868.5,0.323535026,0.647070052,0.85022642,NE,0,NE,0,1.969167,1.00E-07,0,caiE;ECK0036;NP_414577.2
b0036,0.001272265,1,35377,35770,36162,786,-,CDS,0.540712468,1.248623976,lagging,0,751562,0.323833842,0.647667684,0.850720224,NE,0,NE,0,0.505366,5.84,0,caiD;ECK0037;yaaL;NP_414578.2
b0037,0,0,36271,37048,37824,1554,-,CDS,0.51029601,1.27924904,lagging,0,752840,0.324384508,0.648769016,0.851628255,NE,0,NE,0,3.2489155,0.479,0,caiC;ECK0038;yaaM;NP_414579.4
b0038,0.000821018,1,37898,38507,39115,1218,-,CDS,0.526272578,1.150645708,lagging,0,754299,0.325013163,0.650026327,0.852661771,NE,0,NE,0,3.907793,1.42,0,caiB;ECK0039;yaaN;NP_414580.1
b0039,0.000874891,1,39244,39815.5,40386,1143,-,CDS,0.538932633,1.156352832,lagging,0,755607.5,0.325576971,0.651153943,0.853585849,NE,0,NE,0,5.786485,1.76,0,caiA;ECK0040;yaaO;NP_414581.1
b0040,0,0,40417,41174.5,41931,1515,-,CDS,0.518151815,0.983766234,lagging,0,756966.5,0.326162539,0.652325077,0.854542755,NE,0,NE,0,0.1417345,0.191,0,caiT;ECK0041;yaaP;NP_414582.1
b0041,0,0,42403,42788.5,43173,771,+,CDS,0.525291829,1.072820037,leading,1,758580.5,0.326857981,0.653715961,0.855675456,NE,0,NE,0,0.5019905,6.62,0,fixA;ECK0042;yaaQ;NP_414583.2
b0042,0,0,43188,43659,44129,942,+,CDS,0.566878981,1.256440856,leading,1,759451,0.327233063,0.654466125,0.856284675,NE,0,NE,0,0.5386495,8.7,0,fixB;ECK0043;yaaR;NP_414584.1
b0043,0,0,44180,44823.5,45466,1287,+,CDS,0.549339549,1.216583718,leading,1,760615.5,0.327734824,0.655469647,0.857097792,NE,0,NE,0,0.5100725,2.46,0,fixC;ECK0044;yaaS;NP_414585.1
b0044,0,0,45463,45607,45750,288,+,CDS,0.569444444,1.014705882,leading,1,761399,0.328072419,0.656144838,0.857643675,NE,0,NE,0,0.256962,1.00E-07,0,fixX;ECK0045;yaaT;NP_414586.1
b0045,0,0,45807,46473,47138,1332,+,CDS,0.533033033,1.121967655,leading,1,762265,0.328445562,0.656891124,0.858245915,NE,0,NE,0,0.4455595,1.94,0,yaaU;ECK0046;yabE;NP_414587.1
b0046,0,0,47246,47511.5,47776,531,+,CDS,0.54613936,1.111459969,leading,1,763303.5,0.328893032,0.657786064,0.858966562,NE,0,NE,0,8.291894,12.6,0,kefF;ECK0047;yabF;NP_414588.1
b0047,0,0,47769,48700.5,49631,1863,+,CDS,0.555018787,1.203943972,leading,1,764492.5,0.32940535,0.658810699,0.85978956,NE,0,NE,0,7.7986005,4.15,0,kefC;ECK0048;trkC;NP_414589.1
b0048,0,0,49823,50063,50302,480,+,CDS,0.527083333,1.389378304,leading,1,765855,0.329992425,0.65998485,0.860729913,E,1,E,1,61.213749,88.5,387,folA;ECK0049;tmr;tmrA;NP_414590.1
b0049,0.00118624,1,50380,50801.5,51222,843,-,CDS,0.557532622,1.08950415,lagging,0,766593.5,0.330310631,0.660621262,0.861238378,NE,0,NE,0,42.5780525,16.2,61,apaH;cfcB;ECK0050;NP_414591.1
b0050,0,0,51229,51418,51606,378,-,CDS,0.518518519,1.064455569,lagging,0,767210,0.330576269,0.661152538,0.861662186,NE,0,NE,0,114.859676,9.26,1,apaG;ECK0051;NP_414592.1
b0051,0,0,51609,52020,52430,822,-,CDS,0.530413625,1.228156566,lagging,0,767812,0.330835659,0.661671319,0.862075446,NE,0,NE,0,120.577427,72,371,rsmA;ECK0052;ksgA;NP_414593.1
b0052,0.001010101,1,52427,52922,53416,990,-,CDS,0.563636364,1.221013143,lagging,0,768714,0.331224314,0.662448628,0.862693579,NE,0,NE,0,55.0149785,24.2,156,pdxA;ECK0053;NP_414594.1
b0053,0.000777001,1,53416,54059.5,54702,1287,-,CDS,0.538461538,1.168479709,lagging,0,769851.5,0.331714441,0.663428883,0.863471265,NE,0,NE,0,173.816742,588,2326,surA;ECK0054;NP_414595.1
b0054,0.000849257,2,54755,55932.5,57109,2355,-,CDS,0.513800425,1.106948145,lagging,0,771724.5,0.332521482,0.665042963,0.864747335,E,1,E,1,167.804718,98.4,647,lptD;ECK0055;imp;ostA;yabG;NP_414596.1
b0055,0,0,57364,57772,58179,816,+,CDS,0.526960784,1.017071379,leading,1,773564,0.333314087,0.666628175,0.865995171,NE,0,NE,0,20.273161,52.8,3,djlA;ECK0056;yabH;NP_414597.1
b0058,0.001515152,1,59687,60017,60346,660,-,CDS,0.539393939,1.209335219,lagging,0,775809,0.334281415,0.668562831,0.867510804,NE,0,E,1,35.5853065,8.2,0,rluA;ECK0059;yabO;NP_414600.1
b0059,0.001375989,4,60358,61811.5,63264,2907,-,CDS,0.549019608,1.132900561,lagging,0,777603.5,0.335054631,0.670109263,0.868716537,NE,0,NE,0,32.917448,57.1,310,rapA;ECK0060;hepA;yabA;NP_414601.1
b0060,0.00042517,1,63429,64605,65780,2352,-,CDS,0.553571429,1.22668542,lagging,0,780397,0.336258298,0.672516595,0.8705833,NE,0,NE,0,11.9949085,1.29,0,polB;dinA;ECK0061;NP_414602.1
b0061,0,0,65855,66203,66550,696,-,CDS,0.55316092,1.203891892,lagging,0,781995,0.336946846,0.673893691,0.871645571,NE,0,NE,0,1.7788385,0.698,0,araD;ECK0062;NP_414603.1
b0062,0,0,66835,67586.5,68337,1503,-,CDS,0.55489022,1.14958479,lagging,0,783378.5,0.33754297,0.675085939,0.87256196,NE,0,NE,0,3.50538,5.01,0,araA;ECK0063;NP_414604.1
b0063,0.000587889,1,68348,69198.5,70048,1701,-,CDS,0.580246914,1.117764471,lagging,0,784990.5,0.33823755,0.6764751,0.873625839,NE,0,NE,0,1.777922,8.52,0,araB;ECK0064;NP_414605.1
b0064,0.001137656,1,70387,70826.5,71265,879,+,CDS,0.52559727,1.255313152,leading,1,786618.5,0.338939024,0.677878049,0.874696056,NE,0,NE,0,26.576702,3.86,0,araC;ECK0065;NP_414606.1
b0065,0.002614379,2,71351,71733.5,72115,765,+,CDS,0.538562092,1.055510385,leading,1,787525.5,0.339329833,0.678659667,0.875290459,NE,0,NE,0,19.2054785,1.00E-07,0,yabI;ECK0066;NP_414607.1
b0066,0,0,72229,72578.5,72927,699,-,CDS,0.570815451,1.335736853,lagging,0,788370.5,0.339693928,0.679387856,0.875843043,NE,0,NE,0,8.1285455,3.24,0,thiQ;ECK0067;sfuC;yabJ;NP_414608.1
b0067,0,0,72911,73716.5,74521,1611,-,CDS,0.584109249,1.028903384,lagging,0,789508.5,0.340184271,0.680368541,0.876585422,NE,0,NE,0,3.271314,0.078,0,thiP;ECK0068;sfuB;yabK;NP_414609.1
b0068,0,0,74497,74989,75480,984,-,CDS,0.532520325,1.075253151,lagging,0,790781,0.340732567,0.681465134,0.877413079,NE,0,NE,0,12.30166,144,42,thiB;ECK0069;sfuA;tbpA;yabL;NP_414610.1
b0069,0.001207729,2,75644,76472,77299,1656,-,CDS,0.548913043,1.010372178,lagging,0,792264,0.341371563,0.682743127,0.878374364,NE,0,NE,0,9.923142,14.2,0,sgrR;ECK0070;yabN;NP_414611.1
b0070,0,0,77621,78210.5,78799,1179,+,CDS,0.485156913,1.106059838,leading,1,794002.5,0.34212065,0.6842413,0.879496757,NE,0,NE,0,10.9899825,0.742,0,setA;ECK0072;yabM;YP_025293.1
b0071,0,0,78848,79151,79453,606,-,CDS,0.514851485,1.122222222,lagging,0,794943,0.342525894,0.685051788,0.880101924,NE,0,NE,0,34.583128,616,205,leuD;ECK0073;NP_414613.1
b0072,0.000713776,1,79464,80164.5,80864,1401,-,CDS,0.557458958,1.22209615,lagging,0,795956.5,0.342962592,0.685925184,0.880752466,NE,0,NE,0,26.9534675,607,719,leuC;ECK0074;NP_414614.1
b0073,0,0,80867,81413,81958,1092,-,CDS,0.554945055,1.189749847,lagging,0,797205,0.343500547,0.687001094,0.881551569,NE,0,NE,0,20.7100745,767,229,leuB;ECK0075;NP_414615.4
b0074,0.000636132,1,81958,82744,83529,1572,-,CDS,0.529898219,1.25076971,lagging,0,798536,0.344074049,0.688148099,0.882400704,NE,0,NE,0,18.8982655,955,89,leuA;ECK0076;NP_414616.1
b0075,0,0,83622,83665.5,83708,87,-,CDS,0.471264368,1.68115942,lagging,0,799457.5,0.344471106,0.688942213,0.882986913,NE,0,NE,0,7.181395,1.00E-07,0,leuL;ECK0077;leuIP;leulL;leulLP;leuLP;NP_414617.1
b0076,0.001058201,1,84368,84840.5,85312,945,+,CDS,0.457142857,1.15609976,leading,1,800632.5,0.344977392,0.689954783,0.883732393,NE,0,NE,0,3.177879,1.00E-07,0,leuO;ECK0078;NP_414618.4
b0077,0.00115942,2,85630,86492.5,87354,1725,+,CDS,0.529275362,1.164849739,leading,1,802284.5,0.345689207,0.691378414,0.884776723,NE,0,NE,0,11.9600335,151,56,ilvI;ECK0079;YP_025294.2
b0078,0,0,87357,87603,87848,492,+,CDS,0.50203252,1.504587156,leading,1,803395,0.346167701,0.692335401,0.885476252,NE,0,NE,0,13.4907255,441,112,ilvH;brnP;ECK0080;NP_414620.1
b0080,0,0,88028,88530.5,89032,1005,+,CDS,0.549253731,1.188146124,leading,1,804322.5,0.346567343,0.693134686,0.886058972,NE,0,NE,0,38.384012,59.9,159,cra;ECK0081;fruC;fruR;shl;NP_414622.1
b0081,0.002178649,1,89634,89863.5,90092,459,+,CDS,0.520697168,0.938054968,leading,1,805655.5,0.347141707,0.694283415,0.886894008,NE,0,NE,0,138.745186,15.8,16,mraZ;ECK0082;yabB;NP_414623.1
b0082,0.001061571,1,90094,90565,91035,942,+,CDS,0.552016985,1.186995968,leading,1,806357,0.34744397,0.694887941,0.887332292,NE,0,E,1,92.4416355,124,409,rsmH;ECK0083;mraW;yabC;NP_414624.1
b0083,0,0,91032,91215,91397,366,+,CDS,0.50273224,1.047834904,leading,1,807007,0.347724043,0.695448086,0.887737685,E,1,E,1,76.5144155,3.09,53,ftsL;ECK0084;mraR;yabD;NP_414625.1
b0084,0.001131862,2,91413,92296.5,93179,1767,+,CDS,0.539898132,1.32619589,leading,1,808088.5,0.348190041,0.696380082,0.888410674,E,1,E,1,39.6273825,10.1,6,ftsI;ECK0085;pbpB;sep;NP_414626.1
b0085,0.000672043,1,93166,93910,94653,1488,+,CDS,0.565860215,1.202806824,leading,1,809702,0.348885268,0.697770535,0.889411173,E,1,E,1,72.833889,140,0,murE;ECK0086;NP_414627.1
b0086,0,0,94650,95329.5,96008,1359,+,CDS,0.551140545,1.135411311,leading,1,811121.5,0.349496903,0.698993807,0.890287868,E,1,NE,0,65.5301435,63.3,372,murF;ECK0087;mra;NP_414628.1
b0087,0,0,96002,96543.5,97084,1083,+,CDS,0.533702678,1.139586357,leading,1,812335.5,0.350019993,0.700039986,0.891035037,E,1,NE,0,52.7916145,15.8,8,mraY;ECK0088;murX;NP_414629.1
b0088,0.000759301,1,97087,97745.5,98403,1317,+,CDS,0.548974943,1.172252322,leading,1,813537.5,0.350537912,0.701075824,0.89177245,E,1,E,1,64.0202985,92.2,182,murD;ECK0089;NP_414630.1
b0089,0,0,98403,99025.5,99647,1245,+,CDS,0.530120482,1.225632691,leading,1,814817.5,0.35108944,0.702178879,0.892555119,E,1,E,1,54.335005,2.7,0,ftsW;ECK0090;NP_414631.1
b0090,0,0,99644,100178,100711,1068,+,CDS,0.560861423,1.132284542,leading,1,815970,0.35158603,0.70317206,0.893257535,E,1,E,1,59.6845705,51.1,84,murG;ECK0091;NP_414632.1
b0091,0,0,100765,101503,102240,1476,+,CDS,0.547425474,1.301346552,leading,1,817295,0.352156948,0.704313895,0.894062398,E,1,E,1,73.425308,95.2,525,murC;ECK0092;NP_414633.1
b0092,0,0,102233,102693.5,103153,921,+,CDS,0.515743757,1.130164835,leading,1,818485.5,0.352669911,0.705339823,0.894783106,NE,0,E,1,107.1764565,58,543,ddlB;ddl;ECK0093;NP_414634.1
b0093,0.004813478,4,103155,103570.5,103985,831,+,CDS,0.533092659,1.049372749,leading,1,819362.5,0.353047794,0.706095588,0.895312541,E,1,E,1,100.8885995,7.83,0,ftsQ;ECK0094;NP_414635.1
b0094,0.001583531,2,103982,104613.5,105244,1263,+,CDS,0.520981789,1.23903726,leading,1,820405.5,0.353497203,0.706994406,0.895940545,E,1,E,1,108.280842,162,389,ftsA;divA;ECK0095;NP_414636.1
b0095,0.001736111,2,105305,105881,106456,1152,+,CDS,0.541666667,1.157062147,leading,1,821673,0.354043345,0.70808669,0.89670132,E,1,E,1,308.469467,899,7773,ftsZ;ECK0096;sfiB;sulB;NP_414637.1
b0096,0.002178649,2,106557,107016,107474,918,+,CDS,0.510893246,1.352357049,leading,1,822808,0.354532395,0.70906479,0.897380326,E,1,NE,0,744.394287,49.5,75,lpxC;asmB;ECK0097;envA;NP_414638.1
b0097,0,0,107705,107961.5,108217,513,+,CDS,0.539961014,1.139397144,leading,1,823753.5,0.354939793,0.709879586,0.897944347,E,1,E,1,105.9079855,2.3,0,secM;ECK0098;srrA;yacA;NP_414639.2
b0098,0.000369549,1,108279,109632,110984,2706,+,CDS,0.524020695,1.220473337,leading,1,825424,0.35565958,0.71131916,0.898937259,E,1,E,1,104.0844155,372,1250,secA;azi;ECK0099;pea;prlD;NP_414640.1
b0099,0,0,111044,111239,111433,390,+,CDS,0.492307692,1.277244495,leading,1,827031,0.356352006,0.712704011,0.89988809,NE,0,NE,0,9.5250975,4.42,6,mutT;ECK0100;nudA;NP_414641.1
b0101,0,0,111649,111748,111846,198,-,CDS,0.515151515,1.003508772,lagging,0,827540,0.356571324,0.713142648,0.900188367,NE,0,NE,0,48.1685445,34.6,256,yacG;ECK0101;NP_414643.1
b0102,0,0,111856,112228,112599,744,-,CDS,0.514784946,1.075613748,lagging,0,828020,0.356778147,0.713556294,0.900471145,NE,0,NE,0,41.455866,88.5,370,zapD;ECK0102;yacF;NP_414644.1
b0103,0,0,112599,112909.5,113219,621,-,CDS,0.526570048,1.045454545,lagging,0,828701.5,0.357071793,0.714143585,0.900871978,E,1,E,1,36.645458,5.83,58,coaE;ECK0103;yacE;NP_414645.1
b0104,0.003831418,4,113444,113966,114487,1044,+,CDS,0.513409962,1.345530448,leading,1,829758,0.357527018,0.715054037,0.901491856,NE,0,NE,0,63.307228,412,713,guaC;ECK0104;NP_414646.1
b0106,0,0,114522,115123.5,115724,1203,-,CDS,0.519534497,0.914791294,lagging,0,830915.5,0.358025763,0.716051526,0.902168877,NE,0,NE,0,3.556344,3.41,0,hofC;ECK0105;hopC;yacD;NP_414648.1
b0107,0.001443001,2,115714,116407,117099,1386,-,CDS,0.534632035,1.070504226,lagging,0,832199,0.358578799,0.717157598,0.902917006,NE,0,NE,0,4.3955885,1.4,0,hofB;ECK0106;hopB;NP_414649.1
b0108,0,0,117109,117329.5,117549,441,-,CDS,0.530612245,1.06342711,lagging,0,833121.5,0.358976287,0.717952574,0.903453031,NE,0,NE,0,0.3430635,1.00E-07,0,ppdD;ECK0107;NP_414650.1
b0109,0.001118568,1,117752,118199,118645,894,-,CDS,0.531319911,1.220445358,lagging,0,833991,0.359350938,0.718701876,0.90395697,NE,0,NE,0,38.0123655,173,441,nadC;ECK0108;NP_414651.1
b0110,0.001811594,1,118733,119009,119284,552,+,CDS,0.538043478,1.180345769,leading,1,834801,0.359699952,0.719399903,0.904425298,NE,0,NE,0,30.7934705,8.58,0,ampD;ECK0109;NP_414652.1
b0111,0,0,119281,119708.5,120135,855,+,CDS,0.520467836,1.201636905,leading,1,835500.5,0.360001353,0.720002706,0.904828862,NE,0,NE,0,23.715516,10.9,1,ampE;ECK0110;NP_414653.1
b0112,0.000727802,1,120178,120865,121551,1374,-,CDS,0.526928675,1.001649848,lagging,0,836657,0.360499667,0.720999334,0.905494304,NE,0,NE,0,27.647527,90,24,aroP;aroR;ECK0111;NP_414654.1
b0113,0.002614379,2,122092,122474.5,122856,765,+,CDS,0.558169935,1.192373551,leading,1,838266.5,0.36119317,0.72238634,0.906416706,NE,0,NE,0,47.944229,23.9,105,pdhR;aceC;ECK0112;genA;yacB;NP_414655.1
b0114,0.000750751,2,123017,124349,125680,2664,+,CDS,0.530405405,1.185062879,leading,1,840141,0.362000857,0.724001713,0.907485555,NE,0,NE,0,583.147186,2507,10369,aceE;ECK0113;NP_414656.1
b0115,0,0,125695,126641.5,127587,1893,+,CDS,0.546751189,1.18377572,leading,1,842433.5,0.362988651,0.725977303,0.908784806,NE,0,E,1,436.476349,1864,20444,aceF;ECK0114;NP_414657.1
b0116,0,0,127912,128624.5,129336,1425,+,CDS,0.530526316,1.210135875,leading,1,844416.5,0.363843089,0.727686177,0.909901593,NE,0,E,1,571.9204405,2281,23262,lpd;dhl;ECK0115;lpdA;NP_414658.1
b0117,0.000539374,1,129407,130334,131260,1854,-,CDS,0.538834951,1.136240112,lagging,0,846126,0.36457968,0.72915936,0.910859088,NE,0,NE,0,3.8453775,0.534,0,yacH;ECK0116;NP_414659.1
b0118,0.000769823,2,131615,132914,134212,2598,+,CDS,0.558891455,1.129893438,leading,1,848706,0.365691353,0.731382706,0.912294915,NE,0,NE,0,214.8405685,1713,17855,acnB;ECK0117;yacI;yacJ;NP_414660.1
b0119,0,0,134388,134569.5,134750,363,+,CDS,0.520661157,1.102941176,leading,1,850361.5,0.366404677,0.732809353,0.913210377,NE,0,NE,0,72.3627435,64,617,yacL;ECK0118;NP_414661.2
b0120,0,0,134788,135185.5,135582,795,-,CDS,0.46163522,1.302812705,lagging,0,850977.5,0.366670099,0.733340199,0.913549844,NE,0,NE,0,91.631565,118,1380,speD;ECK0119;NP_414662.1
b0121,0.001153403,1,135598,136031.5,136464,867,-,CDS,0.507497116,1.365467507,lagging,0,851823.5,0.367034625,0.734069249,0.914015024,NE,0,NE,0,107.074078,172,725,speE;ECK0120;NP_414663.1
b0122,0.002873563,1,136570,136744,136917,348,-,CDS,0.5,1.245493107,lagging,0,852536,0.367341628,0.734683255,0.914405869,NE,0,E,1,53.8330725,36.7,35,yacC;ECK0121;NP_414664.4
b0123,0,0,137083,137858.5,138633,1551,+,CDS,0.546744036,1.092425847,leading,1,853650.5,0.367821844,0.735643689,0.915015526,NE,0,NE,0,19.702753,79.3,118,cueO;ECK0122;yacK;NP_414665.1
b0124,0.000418235,1,138835,140030.5,141225,2391,-,CDS,0.554161439,1.106202738,lagging,0,855822.5,0.368757718,0.737515436,0.916197674,NE,0,NE,0,50.1983415,66.7,7,gcd;ECK0123;NP_414666.1
b0125,0,0,141431,141699.5,141967,537,+,CDS,0.506517691,1.329793088,leading,1,857491.5,0.369476859,0.738953717,0.917100675,NE,0,NE,0,89.8956945,345,2602,hpt;ECK0124;NP_414667.4
b0126,0,0,142008,142339.5,142670,663,-,CDS,0.50678733,1.010993298,lagging,0,858131.5,0.369752623,0.739505245,0.917445701,E,1,E,1,231.744415,603,2867,can;ECK0125;yadF;NP_414668.1
b0127,0,0,142779,143242.5,143705,927,+,CDS,0.49622438,1.308722527,leading,1,859034.5,0.370141708,0.740283416,0.917931341,NE,0,NE,0,41.068939,53.5,128,yadG;ECK0126;NP_414669.1
b0128,0,0,143702,144087.5,144472,771,+,CDS,0.507133593,1.096208531,leading,1,859879.5,0.370505803,0.741011605,0.918384545,NE,0,NE,0,33.8380395,1.00E-07,0,yadH;ECK0127;NP_414670.1
b0129,0,0,144577,144797.5,145017,441,+,CDS,0.492063492,1.132511556,leading,1,860589.5,0.370811728,0.741623456,0.918764415,NE,0,E,1,16.393727,1.5,0,yadI;agaX;ECK0128;NP_414671.1
b0130,0,0,145081,145696,146310,1230,+,CDS,0.495121951,1.249810831,leading,1,861488,0.371198875,0.74239775,0.919243921,NE,0,NE,0,10.8659655,1.85,0,yadE;ECK0129;NP_414672.1
b0131,0.005249344,2,146314,146504.5,146694,381,-,CDS,0.524934383,1.334033613,lagging,0,862296.5,0.371547242,0.743094484,0.919674234,NE,0,NE,0,167.5189745,133,445,panD;ECK0130;NP_414673.1
