Gene,Start,End,Length (nt),Strand,Locus Tag,CDS,Pseudo,PEC,Gerdes,LB medium,,,,,M9 glucose (0.2%) medium,,,,
nhaR,18715,19620,906,+,b0020,Y,N,NE,NE,95,43.71 ,93,46.49 ,NE,448,36.37,439,38.71,NE
insB1,19811,20314,504,-,b0021,Y,N,NE,NE,291,240.71 ,288,258.76 ,NE,2905,423.91,2883,456.96,NE
insA,20233,20508,276,-,b0022,Y,N,NE,E,50,75.53 ,22,36.40 ,NE,121,32.24,77,22.47,NE
rpsT,20815,21078,264,-,b0023,Y,N,NE,E,0,0.00 ,0,0.00 ,E,5,1.39,5,1.51,E
yaaY,21181,21399,219,+,b0024,Y,N,NE,NE,397,755.75 ,315,646.91 ,NE,811,272.35,345,124.99,NE
ribF,21407,22348,942,+,b0025,Y,N,E,E,4,1.77 ,3,1.44 ,E,27,2.11,22,1.87,E
ileS,22391,25207,2817,+,b0026,Y,N,E,E,10,1.48 ,10,1.61 ,E,34,0.89,33,0.94,E
lspA,25207,25701,495,+,b0027,Y,N,E,E,6,5.05 ,5,4.58 ,NE,28,4.16,27,4.36,NE
fkpB,25826,26275,450,+,b0028,Y,N,NE,NE,358,331.67 ,329,331.30 ,NE,2197,359.06,2136,379.45,NE
ispH,26277,27227,951,+,b0029,Y,N,E,E,0,0.00 ,0,0.00 ,E,15,1.16,15,1.26,E
rihC,27293,28207,915,+,b0030,Y,N,NE,NE,490,223.26 ,472,233.42 ,NE,2128,171.04,2060,179.72,NE
dapB,28374,29195,822,+,b0031,Y,N,E,E,17,8.62 ,1,0.55 ,E,19,1.70,19,1.84,E
carA,29651,30799,1149,+,b0032,Y,N,NE,NE,807,292.81 ,791,311.98 ,NE,23,1.47,22,1.53,E
carB,30817,34038,3222,+,b0033,Y,N,NE,NE,3866,500.23 ,3832,538.62 ,NE,77,1.76,76,1.88,E
caiF,34300,34695,396,+,b0034,Y,N,NE,NE,50,52.64 ,44,50.39 ,NE,916,170.12,890,179.82,NE
caiE,34781,35371,591,-,b0035,Y,N,NE,NE,3591,2533.14 ,3518,2701.01 ,NE,2113,262.95,2059,278.88,NE
caiD,35377,36162,786,-,b0036,Y,N,NE,NE,517,274.22 ,458,264.46 ,NE,4813,450.35,4785,487.41,NE
caiC,36271,37824,1554,-,b0037,Y,N,NE,NE,442,118.58 ,427,124.49 ,NE,1436,67.96,1411,72.57,NE
caiB,37898,39115,1218,-,b0038,Y,N,NE,NE,1117,382.33 ,1113,413.55 ,NE,2871,173.36,2829,185.44,NE
caiA,39244,40386,1143,-,b0039,Y,N,NE,NE,211,76.96 ,190,75.37 ,NE,2805,180.48,2667,186.63,NE
caiT,40417,41931,1515,-,b0040,Y,N,NE,NE,854,235.00 ,852,254.62 ,NE,7981,387.43,7977,420.55,NE
fixA,42403,43173,771,+,b0041,Y,N,NE,NE,147,79.49 ,144,84.44 ,NE,1075,102.54,1066,110.27,NE
fixB,43188,44129,942,+,b0042,Y,N,NE,NE,822,363.79 ,795,382.72 ,NE,3966,309.64,3926,333.42,NE
fixC,44180,45466,1287,+,b0043,Y,N,NE,NE,351,113.70 ,288,101.49 ,NE,1429,81.66,1257,78.15,NE
fixX,45463,45750,288,+,b0044,Y,N,NE,NE,129,186.74 ,115,181.60 ,NE,1161,296.48,1079,300.59,NE
yaaU,45807,47138,1332,+,b0045,Y,N,NE,NE,931,291.39 ,855,291.22 ,NE,8185,451.93,7504,450.88,NE
kefF,47246,47776,531,+,b0046,Y,N,NE,NE,145,113.84 ,142,121.56 ,NE,5056,700.27,4867,735.00,NE
kefC,47769,49631,1863,+,b0047,Y,N,NE,NE,2533,566.83 ,2511,610.40 ,NE,21694,856.41,21595,926.07,NE
folA,49823,50302,480,+,b0048,Y,N,E,E,0,0.00 ,0,0.00 ,E,0,0.00,0,0.00,E
apaH,50380,51222,843,-,b0049,Y,N,NE,NE,443,219.08 ,437,235.08 ,NE,809,70.58,803,76.20,NE
apaG,51229,51606,378,-,b0050,Y,N,NE,NE,150,165.44 ,147,177.12 ,NE,406,78.99,397,84.39,NE
rsmA,51609,52430,822,-,b0051,Y,N,NE,NE,99,50.21 ,95,52.25 ,NE,900,80.52,883,85.67,NE
pdxA,52427,53416,990,-,b0052,Y,N,NE,NE,1468,618.19 ,1451,664.75 ,NE,101,7.50,31,2.51,NE
surA,53416,54702,1287,-,b0053,Y,N,NE,NE,157,50.86 ,156,54.98 ,NE,49,2.80,37,2.30,NE
lptD,54755,57109,2355,-,b0054,Y,N,E,E,10,1.77 ,4,0.77 ,E,81,2.53,79,2.68,NE
djlA,57364,58179,816,+,b0055,Y,N,NE,NE,117,59.78 ,95,52.67 ,NE,1125,101.39,1110,108.56,NE
yabP,58474,59279,806,+,b4659,Y,Y,NE,NE,80,41.38 ,79,44.39 ,NE,859,78.38,853,84.55,NE
rluA,59687,60346,660,-,b0058,Y,N,NE,E,198,125.07 ,189,129.60 ,NE,1447,161.24,1401,169.47,NE
rapA,60358,63264,2907,-,b0059,Y,N,NE,NE,4201,602.47 ,4174,650.52 ,NE,17688,447.49,16337,449.16,NE
polB,63429,65780,2352,-,b0060,Y,N,NE,NE,8032,1423.70 ,7830,1508.47 ,NE,25638,801.68,25010,849.98,NE
araD,65855,66550,696,-,b0061,Y,N,NE,NE,440,263.56 ,432,281.41 ,NE,225,23.78,206,23.67,NE
araA,66835,68337,1503,-,b0062,Y,N,NE,NE,688,190.84 ,647,195.04 ,NE,3953,193.43,3501,186.18,NE
araB,68348,70048,1701,-,b0063,Y,N,NE,NE,1089,266.90 ,1076,286.63 ,NE,4773,206.37,4711,221.39,NE
araC,70387,71265,879,+,b0064,Y,N,NE,NE,536,254.22 ,475,245.39 ,NE,2588,216.54,1923,175.25,NE
yabI,71351,72115,765,+,b0065,Y,N,NE,NE,1202,655.05 ,828,489.63 ,NE,12163,1169.32,10116,1055.29,NE
thiQ,72229,72927,699,-,b0066,Y,N,NE,NE,751,447.91 ,622,403.28 ,NE,2973,312.80,2731,312.37,NE
thiP,72911,74521,1611,-,b0067,Y,N,NE,NE,3603,932.39 ,3490,981.10 ,NE,20149,919.84,19567,970.37,NE
thiB,74497,75480,984,-,b0068,Y,N,NE,NE,408,172.86 ,354,163.25 ,NE,1603,119.81,1474,119.92,NE
sgrR,75644,77299,1656,-,b0069,Y,N,NE,NE,1619,407.58 ,1545,422.64 ,NE,5577,247.68,4994,241.00,NE
sgrS,77367,77593,227,+,b4577,N,N,NE,NE,7,12.86 ,7,14.10 ,NE,95,30.78,95,33.75,NE
sgrT,77388,77519,132,+,b4662,Y,N,NE,NE,3,9.47 ,3,10.42 ,NE,44,24.52,39,23.90,NE
setA,77621,78799,1179,+,b0070,Y,N,NE,NE,202,71.43 ,198,76.22 ,NE,2168,135.24,2142,145.46,NE
leuD,78848,79453,606,-,b0071,Y,N,NE,NE,164,112.82 ,161,120.29 ,NE,5,0.61,5,0.66,E
leuC,79464,80864,1401,-,b0072,Y,N,NE,NE,608,180.92 ,594,192.12 ,NE,187,9.82,21,1.20,E
leuB,80867,81958,1092,-,b0073,Y,N,NE,NE,316,120.64 ,293,121.66 ,NE,15,1.01,14,1.03,E
leuA,81958,83529,1572,-,b0074,Y,N,NE,NE,1038,275.28 ,958,275.82 ,NE,213,9.97,148,7.52,NE
leuL,83622,83708,87,-,b0075,Y,N,NE,NE,1371,6569.75 ,1366,7208.66 ,NE,3169,2678.90,3169,2950.18,NE
leuO,84368,85312,945,+,b0076,Y,N,NE,NE,119,52.50 ,118,56.61 ,NE,627,48.80,625,52.89,NE
ilvI,85630,87354,1725,+,b0077,Y,N,NE,NE,687,166.03 ,558,146.40 ,NE,1341,57.17,1216,56.28,NE
ilvH,87357,87848,492,+,b0078,Y,N,NE,NE,61,51.69 ,54,49.81 ,NE,163,24.37,131,21.32,NE
cra,88028,89032,1005,+,b0080,Y,N,NE,NE,1035,429.34 ,927,417.80 ,NE,2589,189.46,2365,188.04,NE
mraZ,89634,90092,459,+,b0081,Y,N,NE,NE,34,30.88 ,32,31.54 ,NE,6060,970.99,6054,1052.58,NE
rsmH,90094,91035,942,+,b0082,Y,N,NE,E,154,68.16 ,149,71.73 ,NE,1466,114.46,1439,122.21,NE
ftsL,91032,91397,366,+,b0083,Y,N,E,E,1,1.14 ,1,1.23 ,E,22,4.42,22,4.79,NE
ftsI,91413,93179,1767,+,b0084,Y,N,E,E,6,1.42 ,4,1.02 ,E,35,1.46,35,1.58,E
murE,93166,94653,1488,+,b0085,Y,N,E,E,7,1.96 ,7,2.13 ,E,25,1.24,21,1.13,E
murF,94650,96008,1359,+,b0086,Y,N,E,NE,8,2.45 ,2,0.67 ,E,152,8.23,38,2.23,NE
mraY,96002,97084,1083,+,b0087,Y,N,E,NE,9,3.46 ,4,1.68 ,E,53,3.60,48,3.55,NE
murD,97087,98403,1317,+,b0088,Y,N,E,E,7,2.22 ,6,2.06 ,E,221,12.34,15,0.91,E
ftsW,98403,99647,1245,+,b0089,Y,N,E,E,11,3.68 ,10,3.64 ,NE,67,3.96,35,2.25,NE
murG,99644,100711,1068,+,b0090,Y,N,E,E,5,1.95 ,5,2.12 ,E,10,0.69,10,0.75,E
murC,100765,102240,1476,+,b0091,Y,N,E,E,1,0.28 ,1,0.31 ,E,28,1.40,28,1.52,E
ddlB,102233,103153,921,+,b0092,Y,N,NE,E,81,36.67 ,80,39.28 ,NE,641,51.19,641,55.53,NE
ftsQ,103155,103985,831,+,b0093,Y,N,E,E,4,2.01 ,4,2.19 ,E,29,2.57,28,2.70,NE
ftsA,103982,105244,1263,+,b0094,Y,N,E,E,2,0.66 ,2,0.72 ,E,9,0.52,9,0.57,E
ftsZ,105305,106456,1152,+,b0095,Y,N,E,E,2,0.72 ,2,0.79 ,E,19,1.21,18,1.25,E
lpxC,106557,107474,918,+,b0096,Y,N,E,NE,27,12.26 ,13,6.41 ,NE,66,5.29,30,2.61,NE
secM,107705,108217,513,+,b0097,Y,N,E,E,30,24.38 ,29,25.56 ,NE,57,8.17,57,8.86,NE
secA,108279,110984,2706,+,b0098,Y,N,E,E,24,3.70 ,15,2.51 ,NE,194,5.27,57,1.68,E
mutT,111044,111433,390,+,b0099,Y,N,NE,NE,99,105.83 ,63,73.36 ,NE,1933,364.52,1306,268.30,NE
yacG,111649,111846,198,-,b0101,Y,N,NE,NE,7,14.74 ,7,16.03 ,NE,72,26.74,72,29.09,NE
zapD,111856,112599,744,-,b0102,Y,N,NE,NE,448,251.04 ,430,262.09 ,NE,2154,212.92,2101,225.90,NE
coaE,112599,113219,621,-,b0103,Y,N,E,E,47,31.55 ,6,4.37 ,NE,76,9.00,26,3.34,NE
guaC,113444,114487,1044,+,b0104,Y,N,NE,NE,828,330.64 ,820,356.10 ,NE,3091,217.75,3056,234.12,NE
hofC,114522,115724,1203,-,b0106,Y,N,NE,NE,883,306.00 ,831,312.96 ,NE,3718,227.30,3653,242.69,NE
hofB,115714,117099,1386,-,b0107,Y,N,NE,NE,468,140.77 ,338,110.61 ,NE,2442,129.58,2151,124.17,NE
ppdD,117109,117549,441,-,b0108,Y,N,NE,NE,488,461.33 ,440,452.93 ,NE,4510,752.13,4473,812.26,NE
nadC,117752,118645,894,-,b0109,Y,N,NE,NE,193,90.00 ,171,86.73 ,NE,212,17.44,204,18.25,NE
ampD,118733,119284,552,+,b0110,Y,N,NE,NE,189,142.74 ,182,149.36 ,NE,462,61.55,446,64.57,NE
ampE,119281,120135,855,+,b0111,Y,N,NE,NE,235,114.59 ,224,118.66 ,NE,811,69.76,763,71.30,NE
aroP,120178,121551,1374,-,b0112,Y,N,NE,NE,1211,367.44 ,1200,395.16 ,NE,35314,1890.23,35149,2041.89,NE
pdhR,122092,122856,765,+,b0113,Y,N,NE,NE,146,79.57 ,146,86.34 ,NE,278,26.73,278,29.00,NE
aceE,123017,125680,2664,+,b0114,Y,N,NE,NE,745,116.59 ,735,124.97 ,NE,55,1.52,51,1.53,E
aceF,125695,127587,1893,+,b0115,Y,N,NE,E,86,18.94 ,83,19.88 ,NE,11,0.43,10,0.42,E
lpd,127912,129336,1425,+,b0116,Y,N,NE,E,14,4.10 ,3,0.95 ,E,24,1.24,21,1.18,E
yacH,129407,131260,1854,-,b0117,Y,N,NE,NE,744,167.30 ,696,170.08 ,NE,5580,221.35,5526,238.22,NE
acnB,131615,134212,2598,+,b0118,Y,N,NE,NE,685,109.92 ,632,110.24 ,NE,49,1.39,48,1.48,E
yacL,134388,134750,363,+,b0119,Y,N,NE,NE,137,157.34 ,136,169.25 ,NE,1623,328.83,1621,355.87,NE
speD,134788,135582,795,-,b0120,Y,N,NE,NE,103,54.01 ,90,51.33 ,NE,578,53.47,551,55.44,NE
speE,135598,136464,867,-,b0121,Y,N,NE,NE,77,37.03 ,56,29.22 ,NE,1101,93.39,1067,98.21,NE
yacC,136570,136917,348,-,b0122,Y,N,NE,E,6,7.19 ,6,7.82 ,NE,69,14.58,39,8.96,NE
cueO,137083,138633,1551,+,b0123,Y,N,NE,NE,979,263.15 ,777,227.00 ,NE,6095,289.01,5575,287.33,NE
gcd,138835,141225,2391,-,b0124,Y,N,NE,NE,1717,299.38 ,1665,315.66 ,NE,12903,396.88,11052,369.63,NE
hpt,141431,141967,537,+,b0125,Y,N,NE,NE,57,44.25 ,57,48.20 ,NE,1409,192.97,1407,209.89,NE
can,142008,142670,663,-,b0126,Y,N,E,E,3,1.89 ,3,2.05 ,E,10,1.11,10,1.20,E
yadG,142779,143705,927,+,b0127,Y,N,NE,NE,558,250.95 ,545,266.99 ,NE,1671,132.57,1531,132.31,NE
yadH,143702,144472,771,+,b0128,Y,N,NE,NE,589,318.49 ,548,321.32 ,NE,681,64.96,592,61.24,NE
yadI,144577,145017,441,+,b0129,Y,N,NE,E,12,11.34 ,11,11.32 ,NE,32,5.34,32,5.81,NE
yadE,145081,146310,1230,+,b0130,Y,N,NE,NE,82,27.79 ,73,26.93 ,NE,781,46.70,752,48.94,NE
panD,146314,146694,381,-,b0131,Y,N,NE,NE,104,113.80 ,100,119.46 ,NE,17,3.28,14,2.95,NE
yadD,146968,147870,903,+,b0132,Y,N,NE,NE,292,134.81 ,284,142.48 ,NE,1290,105.06,1281,113.37,NE
panC,147944,148795,852,-,b0133,Y,N,NE,NE,252,123.31 ,244,129.75 ,NE,42,3.63,31,2.91,NE
panB,148807,149601,795,-,b0134,Y,N,NE,NE,413,216.58 ,399,227.55 ,NE,17,1.57,17,1.71,E
yadC,149715,150953,1239,-,b0135,Y,N,NE,NE,38,12.79 ,33,12.08 ,NE,356,21.13,341,22.02,NE
yadK,151003,151599,597,-,b0136,Y,N,NE,NE,16,11.17 ,16,12.15 ,NE,208,25.62,205,27.46,NE
yadL,151626,152231,606,-,b0137,Y,N,NE,NE,7,4.82 ,7,5.23 ,NE,243,29.49,234,30.84,NE
yadM,152243,152812,570,-,b0138,Y,N,NE,NE,3,2.19 ,3,2.38 ,NE,31,4.00,30,4.19,NE
htrE,152829,155426,2598,-,b0139,Y,N,NE,NE,280,44.93 ,275,47.97 ,NE,2116,59.90,2105,64.78,NE
yadV,155461,156201,741,-,b0140,Y,N,NE,NE,86,48.39 ,85,52.04 ,NE,1811,179.74,1805,194.93,NE
yadN,156299,156883,585,-,b0141,Y,N,NE,NE,127,90.51 ,127,98.60 ,NE,229011,28790.81,229011,31364.29,NE
folK,157253,157732,480,-,b0142,Y,N,E,E,34,29.53 ,9,8.53 ,NE,9,1.38,8,1.34,E
pcnB,157729,159126,1398,-,b0143,Y,N,NE,NE,799,238.27 ,641,207.80 ,NE,3502,184.23,2846,162.76,NE
gluQ,159186,160112,927,-,b0144,Y,N,NE,NE,400,179.89 ,400,195.96 ,NE,1769,140.35,1764,152.45,NE
dksA,160149,160604,456,-,b0145,Y,N,NE,NE,34,31.08 ,33,32.76 ,NE,4,0.65,4,0.70,E
sfsA,160782,161486,705,-,b0146,Y,N,NE,NE,182,107.62 ,142,91.22 ,NE,754,78.66,692,78.42,NE
ligT,161501,162031,531,-,b0147,Y,N,NE,NE,371,291.28 ,334,285.92 ,NE,1735,240.30,1575,237.85,NE
hrpB,162105,164534,2430,+,b0148,Y,N,NE,NE,3206,550.03 ,2971,554.43 ,NE,10087,305.29,9765,321.47,NE
mrcB,164730,167264,2535,+,b0149,Y,N,NE,NE,1114,183.21 ,1086,194.23 ,NE,7974,231.34,7716,243.45,NE
fhuA,167484,169727,2244,+,b0150,Y,N,NE,NE,2463,457.59 ,2209,446.19 ,NE,251211,8233.21,242867,8653.91,NE
fhuC,169778,170575,798,+,b0151,Y,N,NE,NE,541,282.63 ,529,300.46 ,NE,4048,373.07,3939,394.68,NE
fhuD,170575,171465,891,+,b0152,Y,N,NE,NE,283,132.42 ,250,127.26 ,NE,1913,157.90,1421,127.60,NE
fhuB,171462,173444,1983,+,b0153,Y,N,NE,NE,3417,718.38 ,3336,762.90 ,NE,27041,1002.89,26355,1063.24,NE
hemL,173602,174882,1281,-,b0154,Y,N,E,E,15,4.88 ,12,4.25 ,NE,68,3.90,65,4.06,NE
clcA,175107,176528,1422,+,b0155,Y,N,NE,NE,2738,802.72 ,2631,837.30 ,NE,34480,1783.29,27238,1529.18,NE
erpA,176610,176954,345,+,b0156,Y,N,E,NE,8,9.67 ,1,1.32 ,E,47,10.02,0,0.00,E
yadS,177001,177624,624,-,b0157,Y,N,NE,NE,378,252.54 ,367,265.63 ,NE,4730,557.48,4623,590.28,NE
btuF,177662,178462,801,-,b0158,Y,N,NE,NE,189,98.37 ,179,101.25 ,NE,2402,220.54,2322,231.71,NE
mtn,178455,179153,699,-,b0159,Y,N,NE,E,61,36.38 ,56,36.31 ,NE,80,8.42,49,5.60,NE
dgt,179237,180754,1518,+,b0160,Y,N,NE,NE,1607,441.34 ,1532,456.86 ,NE,3302,159.98,3129,164.61,NE
degP,180884,182308,1425,+,b0161,Y,N,NE,NE,776,227.03 ,715,227.02 ,NE,3759,194.00,3607,202.04,NE
cdaR,182463,183620,1158,+,b0162,Y,N,NE,NE,716,257.77 ,693,271.02 ,NE,5485,348.35,5314,366.62,NE
yaeH,183709,184095,387,-,b0163,Y,N,NE,NE,420,452.45 ,248,291.24 ,NE,1222,232.23,1091,226.02,NE
yaeI,184257,185069,813,-,b0164,Y,N,NE,NE,279,143.07 ,274,152.51 ,NE,1760,159.21,1708,167.71,NE
dapD,185123,185947,825,-,b0166,Y,N,E,E,6,3.03 ,4,2.19 ,E,40,3.57,38,3.67,NE
glnD,185978,188650,2673,-,b0167,Y,N,NE,E,340,53.03 ,303,51.33 ,NE,1184,32.58,1091,32.60,NE
map,188712,189506,795,-,b0168,Y,N,E,E,1,0.52 ,1,0.57 ,E,4,0.37,4,0.40,E
tff,189712,189847,136,+,b4414,N,N,NE,NE,0,0.00 ,0,0.00 ,E,0,0.00,0,0.00,E
rpsB,189874,190599,726,+,b0169,Y,N,E,E,1,0.57 ,1,0.63 ,E,14,1.42,14,1.55,E
tsf,190857,191708,852,+,b0170,Y,N,E,E,2,0.98 ,2,1.06 ,E,14,1.21,9,0.84,E
pyrH,191855,192580,726,+,b0171,Y,N,E,E,30,17.23 ,5,3.13 ,NE,26,2.63,26,2.87,NE
frr,192872,193429,558,+,b0172,Y,N,E,E,0,0.00 ,0,0.00 ,E,6,0.79,6,0.86,E
dxr,193521,194717,1197,+,b0173,Y,N,E,E,2,0.70 ,1,0.38 ,E,55,3.38,54,3.61,NE
ispU,194903,195664,762,+,b0174,Y,N,E,E,0,0.00 ,0,0.00 ,E,9,0.87,9,0.94,E
cdsA,195677,196534,858,+,b0175,Y,N,E,E,3,1.46 ,2,1.06 ,E,23,1.97,23,2.14,E
rseP,196546,197898,1353,+,b0176,Y,N,E,NE,0,0.00 ,0,0.00 ,E,13,0.71,12,0.71,E
bamA,197928,200360,2433,+,b0177,Y,N,E,E,3,0.51 ,3,0.56 ,E,25,0.76,21,0.69,E
skp,200482,200967,486,+,b0178,Y,N,NE,NE,39,33.45 ,34,31.78 ,NE,119,18.01,119,19.62,NE
lpxD,200971,201996,1026,+,b0179,Y,N,E,NE,8,3.25 ,5,2.21 ,NE,9,0.65,7,0.55,E
fabZ,202101,202556,456,+,b0180,Y,N,E,E,0,0.00 ,0,0.00 ,E,2,0.32,2,0.35,E
lpxA,202560,203348,789,+,b0181,Y,N,E,E,1,0.53 ,1,0.58 ,E,7,0.65,7,0.71,E
lpxB,203348,204496,1149,+,b0182,Y,N,E,E,15,5.44 ,2,0.79 ,E,30,1.92,21,1.46,E
rnhB,204493,205089,597,+,b0183,Y,N,NE,E,104,72.63 ,104,78.98 ,NE,986,121.47,983,131.68,NE
dnaE,205126,208608,3483,+,b0184,Y,N,E,E,12,1.44 ,10,1.30 ,E,55,1.16,46,1.06,E
accA,208621,209580,960,+,b0185,Y,N,E,E,22,9.55 ,7,3.30 ,NE,45,3.45,20,1.66,E
ldcC,209679,211820,2142,+,b0186,Y,N,NE,NE,615,119.70 ,605,128.03 ,NE,3270,112.27,3248,121.26,NE
yaeR,211877,212266,390,+,b0187,Y,N,NE,NE,70,74.83 ,60,69.87 ,NE,116,21.87,99,20.34,NE
tilS,212331,213629,1299,+,b0188,Y,N,E,E,33,10.59 ,9,3.14 ,NE,54,3.06,35,2.15,E
rof,213678,213932,255,-,b0189,Y,N,NE,NE,135,220.71 ,93,164.99 ,NE,369,106.42,280,87.63,NE
yaeP,213925,214125,201,-,b4406,Y,N,NE,NE,45,93.34 ,43,96.90 ,NE,286,104.65,237,94.22,NE
yaeQ,214291,214836,546,+,b0190,Y,N,NE,NE,186,142.02 ,170,141.18 ,NE,774,104.26,734,107.53,NE
arfB,214833,215255,423,+,b0191,Y,N,NE,NE,576,567.69 ,561,598.16 ,NE,2345,407.71,1877,353.05,NE
nlpE,215269,215979,711,+,b0192,Y,N,NE,NE,116,68.02 ,94,59.83 ,NE,804,83.16,804,90.28,NE
yaeF,216179,217003,825,-,b0193,Y,N,NE,NE,1052,531.61 ,970,531.40 ,NE,1620,144.42,1537,148.54,NE
proS,217057,218775,1719,-,b0194,Y,N,E,E,9,2.18 ,6,1.58 ,E,34,1.45,30,1.39,E
tsaA,218887,219594,708,-,b0195,Y,N,NE,NE,482,283.82 ,475,303.72 ,NE,2087,216.79,2080,234.62,NE
rcsF,219591,219995,405,-,b0196,Y,N,NE,NE,561,577.48 ,519,580.08 ,NE,2710,492.12,2684,529.21,NE
metQ,220113,220928,816,-,b0197,Y,N,NE,NE,39,19.93 ,32,17.74 ,NE,221,19.92,208,20.34,NE
metI,220968,221621,654,-,b0198,Y,N,NE,NE,133,84.78 ,131,90.72 ,NE,290,32.61,258,31.52,NE
metN,221614,222645,1032,-,b0199,Y,N,NE,NE,1079,435.89 ,1040,457.36 ,NE,7447,530.71,6661,516.75,NE
gmhB,222833,223408,576,+,b0200,Y,N,NE,NE,169,122.32 ,169,133.44 ,NE,6,0.77,6,0.84,E
rrsH,223771,225312,1542,+,b0201,N,N,NE,NE,1877,507.47 ,1873,550.67 ,NE,7236,345.12,7194,373.12,NE
ileV,225381,225457,77,+,b0202,N,N,NE,NE,23,124.53 ,23,138.97 ,NE,348,332.39,340,362.40,NE
alaV,225500,225575,76,+,b0203,N,N,NE,NE,0,0.00 ,0,0.00 ,E,6,5.81,0,0.00,E
rrlH,225759,228662,2904,+,b0204,N,N,NE,NE,86,12.35 ,85,13.26 ,NE,2388,60.48,2376,65.40,NE
rrfH,228756,228875,120,+,b0205,N,N,NE,NE,9,31.27 ,9,33.50 ,NE,40,24.52,40,26.27,NE
aspU,228928,229004,77,+,b0206,N,N,NE,NE,1,5.41 ,1,6.04 ,NE,29,27.70,29,30.91,NE
dkgB,229167,229970,804,+,b0207,Y,N,NE,NE,52,26.96 ,52,29.30 ,NE,799,73.09,798,79.31,NE
yafC,229967,230881,915,-,b0208,Y,N,NE,NE,49,22.33 ,48,23.74 ,NE,715,57.47,711,62.03,NE
yafD,231122,231922,801,+,b0209,Y,N,NE,NE,148,77.03 ,145,82.02 ,NE,1084,99.53,1084,108.17,NE
yafE,231926,232549,624,+,b0210,Y,N,NE,E,137,91.53 ,128,92.64 ,NE,330,38.89,322,41.11,NE
mltD,232597,233955,1359,-,b0211,Y,N,NE,NE,330,101.23 ,327,108.97 ,NE,2887,156.24,2864,168.37,NE
gloB,234027,234782,756,-,b0212,Y,N,NE,NE,21,11.58 ,18,10.78 ,NE,48,4.67,42,4.44,NE
yafS,234816,235538,723,+,b0213,Y,N,NE,NE,55,31.71 ,53,33.13 ,NE,614,62.46,605,66.71,NE
rnhA,235535,236002,468,-,b0214,Y,N,NE,E,49,43.65 ,48,46.32 ,NE,812,127.60,796,135.51,NE
dnaQ,236067,236798,732,+,b0215,Y,N,NE,E,6,3.42 ,6,3.72 ,NE,15,1.51,2,0.22,E
aspV,236931,237007,77,+,b0216,N,N,NE,NE,2,10.83 ,2,12.08 ,NE,3,2.87,3,3.20,NE
yafT,237335,238120,786,+,b0217,Y,N,NE,NE,2,1.06 ,2,1.15 ,E,65,6.08,43,4.38,NE
