locus_tag,mutation_density,mutation_count,avg_length,start,end,strand,type,gc_content,cpg_excess,gene_names
b0043,0.0,0,1287.0,44180,45466,+,CDS,0.5493395493395493,1.2165837184500534,fixC;ECK0044;yaaS;NP_414585.1
b0044,0.0,0,288.0,45463,45750,+,CDS,0.5694444444444444,1.0147058823529411,fixX;ECK0045;yaaT;NP_414586.1
b0045,0.0,0,1332.0,45807,47138,+,CDS,0.5330330330330331,1.121967654986523,yaaU;ECK0046;yabE;NP_414587.1
b0046,0.0,0,531.0,47246,47776,+,CDS,0.5461393596986818,1.1114599686028257,kefF;ECK0047;yabF;NP_414588.1
b0047,0.0,0,1863.0,47769,49631,+,CDS,0.5550187869028449,1.203943972192587,kefC;ECK0048;trkC;NP_414589.1
b0048,0.0,0,480.0,49823,50302,+,CDS,0.5270833333333333,1.3893783035489553,folA;ECK0049;tmr;tmrA;NP_414590.1
b0049,0.0011862396204033216,1,843.0,50380,51222,-,CDS,0.5575326215895611,1.0895041502839669,apaH;cfcB;ECK0050;NP_414591.1
b0050,0.0,0,378.0,51229,51606,-,CDS,0.5185185185185185,1.0644555694618274,apaG;ECK0051;NP_414592.1
b0051,0.0,0,822.0,51609,52430,-,CDS,0.5304136253041363,1.2281565656565656,rsmA;ECK0052;ksgA;NP_414593.1
b0052,0.00101010101010101,1,990.0,52427,53416,-,CDS,0.5636363636363636,1.2210131428498014,pdxA;ECK0053;NP_414594.1
b0053,0.000777000777000777,1,1287.0,53416,54702,-,CDS,0.5384615384615384,1.1684797094689146,surA;ECK0054;NP_414595.1
b0054,0.0008492569002123143,2,2355.0,54755,57109,-,CDS,0.5138004246284501,1.1069481451117031,lptD;ECK0055;imp;ostA;yabG;NP_414596.1
b0055,0.0,0,816.0,57364,58179,+,CDS,0.5269607843137255,1.01707137928732,djlA;ECK0056;yabH;NP_414597.1
b0058,0.0015151515151515152,1,660.0,59687,60346,-,CDS,0.5393939393939394,1.2093352192362095,rluA;ECK0059;yabO;NP_414600.1
b0059,0.0013759889920880633,4,2907.0,60358,63264,-,CDS,0.5490196078431373,1.13290056147199,rapA;ECK0060;hepA;yabA;NP_414601.1
b0060,0.00042517006802721087,1,2352.0,63429,65780,-,CDS,0.5535714285714286,1.2266854204376771,polB;dinA;ECK0061;NP_414602.1
b0061,0.0,0,696.0,65855,66550,-,CDS,0.5531609195402298,1.203891891891892,araD;ECK0062;NP_414603.1
b0062,0.0,0,1503.0,66835,68337,-,CDS,0.5548902195608783,1.1495847902097902,araA;ECK0063;NP_414604.1
b0063,0.0005878894767783657,1,1701.0,68348,70048,-,CDS,0.5802469135802469,1.1177644710578842,araB;ECK0064;NP_414605.1
b0064,0.0011376564277588168,1,879.0,70387,71265,+,CDS,0.5255972696245734,1.2553131518123908,araC;ECK0065;NP_414606.1
b0065,0.00261437908496732,2,765.0,71351,72115,+,CDS,0.538562091503268,1.055510385098677,yabI;ECK0066;NP_414607.1
b0066,0.0,0,699.0,72229,72927,-,CDS,0.5708154506437768,1.3357368528332654,thiQ;ECK0067;sfuC;yabJ;NP_414608.1
b0067,0.0,0,1611.0,72911,74521,-,CDS,0.5841092489137182,1.0289033836119037,thiP;ECK0068;sfuB;yabK;NP_414609.1
b0068,0.0,0,984.0,74497,75480,-,CDS,0.532520325203252,1.0752531507248488,thiB;ECK0069;sfuA;tbpA;yabL;NP_414610.1
b0069,0.0012077294685990338,2,1656.0,75644,77299,-,CDS,0.5489130434782609,1.010372178157413,sgrR;ECK0070;yabN;NP_414611.1
b4662,0.0,0,132.0,77388,77519,+,CDS,0.4696969696969697,1.1174603174603175,sgrT;ECK4477;YP_002791237.1
b0070,0.0,0,1179.0,77621,78799,+,CDS,0.4851569126378287,1.1060598377281947,setA;ECK0072;yabM;YP_025293.1
b0071,0.0,0,606.0,78848,79453,-,CDS,0.5148514851485149,1.1222222222222222,leuD;ECK0073;NP_414613.1
b0072,0.0007137758743754461,1,1401.0,79464,80864,-,CDS,0.5574589578872234,1.2220961500623073,leuC;ECK0074;NP_414614.1
b0073,0.0,0,1092.0,80867,81958,-,CDS,0.554945054945055,1.1897498474679682,leuB;ECK0075;NP_414615.4
b0074,0.0006361323155216285,1,1572.0,81958,83529,-,CDS,0.5298982188295165,1.250769709758882,leuA;ECK0076;NP_414616.1
b0075,0.0,0,87.0,83622,83708,-,CDS,0.47126436781609193,1.681159420289855,leuL;ECK0077;leuIP;leulL;leulLP;leuLP;NP_414617.1
b0076,0.0010582010582010583,1,945.0,84368,85312,+,CDS,0.45714285714285713,1.1560997596153846,leuO;ECK0078;NP_414618.4
b0077,0.0011594202898550724,2,1725.0,85630,87354,+,CDS,0.5292753623188405,1.164849739120296,ilvI;ECK0079;YP_025294.2
b0078,0.0,0,492.0,87357,87848,+,CDS,0.5020325203252033,1.5045871559633026,ilvH;brnP;ECK0080;NP_414620.1
b0080,0.0,0,1005.0,88028,89032,+,CDS,0.5492537313432836,1.188146124239757,cra;ECK0081;fruC;fruR;shl;NP_414622.1
b0081,0.002178649237472767,1,459.0,89634,90092,+,CDS,0.5206971677559913,0.9380549682875264,mraZ;ECK0082;yabB;NP_414623.1
b0082,0.0010615711252653928,1,942.0,90094,91035,+,CDS,0.5520169851380042,1.1869959677419355,rsmH;ECK0083;mraW;yabC;NP_414624.1
b0083,0.0,0,366.0,91032,91397,+,CDS,0.5027322404371585,1.047834903972325,ftsL;ECK0084;mraR;yabD;NP_414625.1
b0084,0.0011318619128466328,2,1767.0,91413,93179,+,CDS,0.5398981324278438,1.3261958897154589,ftsI;ECK0085;pbpB;sep;NP_414626.1
b0085,0.0006720430107526882,1,1488.0,93166,94653,+,CDS,0.5658602150537635,1.2028068244358834,murE;ECK0086;NP_414627.1
b0086,0.0,0,1359.0,94650,96008,+,CDS,0.551140544518028,1.1354113110539845,murF;ECK0087;mra;NP_414628.1
b0087,0.0,0,1083.0,96002,97084,+,CDS,0.5337026777469991,1.1395863570391873,mraY;ECK0088;murX;NP_414629.1
b0088,0.0007593014426727411,1,1317.0,97087,98403,+,CDS,0.5489749430523918,1.172252321981424,murD;ECK0089;NP_414630.1
b0089,0.0,0,1245.0,98403,99647,+,CDS,0.5301204819277109,1.2256326909681914,ftsW;ECK0090;NP_414631.1
b0090,0.0,0,1068.0,99644,100711,+,CDS,0.5608614232209738,1.1322845417236662,murG;ECK0091;NP_414632.1
b0091,0.0,0,1476.0,100765,102240,+,CDS,0.5474254742547425,1.3013465522343888,murC;ECK0092;NP_414633.1
b0092,0.0,0,921.0,102233,103153,+,CDS,0.5157437567861021,1.1301648351648352,ddlB;ddl;ECK0093;NP_414634.1
b0093,0.0048134777376654635,4,831.0,103155,103985,+,CDS,0.53309265944645,1.0493727487268663,ftsQ;ECK0094;NP_414635.1
b0094,0.001583531274742676,2,1263.0,103982,105244,+,CDS,0.5209817893903405,1.239037259981713,ftsA;divA;ECK0095;NP_414636.1
b0095,0.001736111111111111,2,1152.0,105305,106456,+,CDS,0.5416666666666666,1.1570621468926554,ftsZ;ECK0096;sfiB;sulB;NP_414637.1
b0096,0.002178649237472767,2,918.0,106557,107474,+,CDS,0.5108932461873639,1.3523570493234396,lpxC;asmB;ECK0097;envA;NP_414638.1
b0097,0.0,0,513.0,107705,108217,+,CDS,0.5399610136452242,1.139397144368059,secM;ECK0098;srrA;yacA;NP_414639.2
b0098,0.0003695491500369549,1,2706.0,108279,110984,+,CDS,0.5240206947524021,1.2204733366461709,secA;azi;ECK0099;pea;prlD;NP_414640.1
b0099,0.0,0,390.0,111044,111433,+,CDS,0.49230769230769234,1.277244494635799,mutT;ECK0100;nudA;NP_414641.1
b0101,0.0,0,198.0,111649,111846,-,CDS,0.5151515151515151,1.0035087719298246,yacG;ECK0101;NP_414643.1
b0102,0.0,0,744.0,111856,112599,-,CDS,0.5147849462365591,1.0756137479541734,zapD;ECK0102;yacF;NP_414644.1
b0103,0.0,0,621.0,112599,113219,-,CDS,0.5265700483091788,1.0454545454545454,coaE;ECK0103;yacE;NP_414645.1
b0104,0.0038314176245210726,4,1044.0,113444,114487,+,CDS,0.5134099616858238,1.3455304484260957,guaC;ECK0104;NP_414646.1
b0106,0.0,0,1203.0,114522,115724,-,CDS,0.5195344970906068,0.9147912941611689,hofC;ECK0105;hopC;yacD;NP_414648.1
b0107,0.001443001443001443,2,1386.0,115714,117099,-,CDS,0.5346320346320347,1.0705042261731275,hofB;ECK0106;hopB;NP_414649.1
b0108,0.0,0,441.0,117109,117549,-,CDS,0.5306122448979592,1.0634271099744246,ppdD;ECK0107;NP_414650.1
b0109,0.0011185682326621924,1,894.0,117752,118645,-,CDS,0.5313199105145414,1.2204453584852137,nadC;ECK0108;NP_414651.1
b0110,0.0018115942028985507,1,552.0,118733,119284,+,CDS,0.5380434782608695,1.1803457688808006,ampD;ECK0109;NP_414652.1
b0111,0.0,0,855.0,119281,120135,+,CDS,0.52046783625731,1.2016369047619049,ampE;ECK0110;NP_414653.1
b0112,0.000727802037845706,1,1374.0,120178,121551,-,CDS,0.5269286754002911,1.0016498484441545,aroP;aroR;ECK0111;NP_414654.1
b0113,0.00261437908496732,2,765.0,122092,122856,+,CDS,0.5581699346405229,1.1923735511064277,pdhR;aceC;ECK0112;genA;yacB;NP_414655.1
b0114,0.0007507507507507507,2,2664.0,123017,125680,+,CDS,0.5304054054054054,1.1850628792189992,aceE;ECK0113;NP_414656.1
b0115,0.0,0,1893.0,125695,127587,+,CDS,0.5467511885895404,1.183775720087096,aceF;ECK0114;NP_414657.1
b0116,0.0,0,1425.0,127912,129336,+,CDS,0.5305263157894737,1.2101358749052524,lpd;dhl;ECK0115;lpdA;NP_414658.1
b0117,0.0005393743257820927,1,1854.0,129407,131260,-,CDS,0.5388349514563107,1.1362401116048029,yacH;ECK0116;NP_414659.1
b0118,0.0007698229407236335,2,2598.0,131615,134212,+,CDS,0.558891454965358,1.129893437812769,acnB;ECK0117;yacI;yacJ;NP_414660.1
b0119,0.0,0,363.0,134388,134750,+,CDS,0.5206611570247934,1.102941176470588,yacL;ECK0118;NP_414661.2
b0120,0.0,0,795.0,134788,135582,-,CDS,0.46163522012578617,1.3028127048447649,speD;ECK0119;NP_414662.1
b0121,0.0011534025374855825,1,867.0,135598,136464,-,CDS,0.5074971164936563,1.3654675066312996,speE;ECK0120;NP_414663.1
b0122,0.0028735632183908046,1,348.0,136570,136917,-,CDS,0.5,1.2454931071049842,yacC;ECK0121;NP_414664.4
b0123,0.0,0,1551.0,137083,138633,+,CDS,0.5467440361057382,1.0924258474576272,cueO;ECK0122;yacK;NP_414665.1
b0124,0.0004182350480970305,1,2391.0,138835,141225,-,CDS,0.5541614387285655,1.1062027376280272,gcd;ECK0123;NP_414666.1
b0125,0.0,0,537.0,141431,141967,+,CDS,0.5065176908752328,1.3297930882676647,hpt;ECK0124;NP_414667.4
b0126,0.0,0,663.0,142008,142670,-,CDS,0.5067873303167421,1.0109932976346678,can;ECK0125;yadF;NP_414668.1
b0127,0.0,0,927.0,142779,143705,+,CDS,0.4962243797195254,1.3087225274725274,yadG;ECK0126;NP_414669.1
b0128,0.0,0,771.0,143702,144472,+,CDS,0.5071335927367056,1.0962085308056873,yadH;ECK0127;NP_414670.1
b0129,0.0,0,441.0,144577,145017,+,CDS,0.49206349206349204,1.1325115562403698,yadI;agaX;ECK0128;NP_414671.1
b0130,0.0,0,1230.0,145081,146310,+,CDS,0.4951219512195122,1.249810831261485,yadE;ECK0129;NP_414672.1
b0131,0.005249343832020997,2,381.0,146314,146694,-,CDS,0.5249343832020997,1.334033613445378,panD;ECK0130;NP_414673.1
b0132,0.0,0,903.0,146968,147870,+,CDS,0.4883720930232558,1.0729831144465292,rpnC;ECK0131;yadD;NP_414674.1
b0133,0.0,0,852.0,147944,148795,-,CDS,0.5269953051643192,1.2536886060847088,panC;ECK0132;NP_414675.1
b0134,0.0012578616352201257,1,795.0,148807,149601,-,CDS,0.5459119496855346,1.1653176980434645,panB;ECK0133;NP_414676.1
b0135,0.0,0,1239.0,149715,150953,-,CDS,0.4035512510088781,0.7387002690987609,yadC;ECK0134;NP_414677.1
b0136,0.0,0,597.0,151003,151599,-,CDS,0.4137353433835846,0.7107142857142856,yadK;ECK0135;NP_414678.1
b0137,0.0,0,606.0,151626,152231,-,CDS,0.42574257425742573,0.8376201923076924,yadL;ECK0136;NP_414679.1
b0138,0.0,0,570.0,152243,152812,-,CDS,0.4280701754385965,0.9967715899919289,yadM;ECK0137;NP_414680.4
b0139,0.00038491147036181676,1,2598.0,152829,155426,-,CDS,0.4334103156274057,1.1240537510461241,htrE;ECK0138;NP_414681.1
b0140,0.001349527665317139,1,741.0,155461,156201,-,CDS,0.44399460188933876,0.9591346153846154,yadV;ECK0139;ecpD;NP_414682.1
b0141,0.0017094017094017094,1,585.0,156299,156883,-,CDS,0.4478632478632479,0.9547123623011017,yadN;ECK0140;NP_414683.1
b0142,0.0,0,480.0,157253,157732,-,CDS,0.5,1.000277854959711,folK;ECK0141;NP_414684.1
b0143,0.000715307582260372,1,1398.0,157729,159126,-,CDS,0.5586552217453505,1.3018296281723392,pcnB;ECK0142;NP_414685.4
b0144,0.0010787486515641855,1,927.0,159186,160112,-,CDS,0.5361380798274002,1.1278835858667793,gluQ;ECK0143;yadB;NP_414686.3
b0145,0.0021929824561403508,1,456.0,160149,160604,-,CDS,0.5263157894736842,1.2419861722187304,dksA;ECK0144;msmA;NP_414687.1
b0146,0.0014184397163120568,1,705.0,160782,161486,-,CDS,0.49361702127659574,1.3279907468605419,sfsA;ECK0145;sfs;sfs1;NP_414688.1
b0147,0.0,0,531.0,161501,162031,-,CDS,0.559322033898305,1.3528662420382165,thpR;ECK0146;ligT;yadP;NP_414689.4
b0148,0.00041152263374485596,1,2430.0,162105,164534,+,CDS,0.565843621399177,1.259712,hrpB;ECK0147;yadO;NP_414690.4
b0149,0.0,0,2535.0,164730,167264,+,CDS,0.5514792899408284,1.1664623879562226,mrcB;ECK0148;pbpF;ponB;NP_414691.1;YP_010051172.1
b0150,0.0022281639928698753,5,2244.0,167484,169727,+,CDS,0.5124777183600713,1.1950581122666657,fhuA;ECK0149;T1;T5rec;tonA;NP_414692.1
b0151,0.0,0,798.0,169778,170575,+,CDS,0.568922305764411,1.1540806754221389,fhuC;ECK0150;NP_414693.1
b0152,0.001122334455667789,1,891.0,170575,171465,+,CDS,0.5465768799102132,1.3098070359230847,fhuD;ECK0151;NP_414694.1
b0153,0.0015128593040847202,3,1983.0,171462,173444,+,CDS,0.5975794251134644,1.1753255474452555,fhuB;ECK0152;NP_414695.1
b0154,0.00078064012490242,1,1281.0,173602,174882,-,CDS,0.5550351288056206,1.22595463680735,hemL;ECK0153;gsa;popC;NP_414696.1
b0155,0.0,0,1422.0,175107,176528,+,CDS,0.5386779184247539,1.240932229802265,clcA;ECK0154;eriC;yadQ;NP_414697.1
b0156,0.002898550724637681,1,345.0,176610,176954,+,CDS,0.5072463768115942,1.2710526315789474,erpA;ECK0155;yadR;NP_414698.1
b0157,0.0,0,624.0,177001,177624,-,CDS,0.5368589743589743,1.243748641008915,yadS;ECK0156;NP_414699.1
b0158,0.0,0,801.0,177662,178462,-,CDS,0.529338327091136,1.0164295732318172,btuF;ECK0157;yadT;NP_414700.1
b0159,0.001430615164520744,1,699.0,178455,179153,-,CDS,0.5236051502145923,1.1492242848175052,mtn;ECK0158;mtnN;pfs;yadA;NP_414701.1
b0160,0.0,0,1518.0,179237,180754,+,CDS,0.4795783926218709,1.2985555959302326,dgt;ECK0159;optA;NP_414702.1
b0161,0.0014035087719298245,2,1425.0,180884,182308,+,CDS,0.5396491228070175,1.0732605952041687,degP;ECK0160;htrA;ptd;NP_414703.1
b0162,0.0008635578583765112,1,1158.0,182463,183620,+,CDS,0.5284974093264249,1.2734790832710157,cdaR;ECK0161;sdaR;yaeG;NP_414704.4
b0163,0.0,0,387.0,183709,184095,-,CDS,0.4444444444444444,1.4175824175824177,yaeH;ECK0162;NP_414705.1
b0164,0.0,0,813.0,184257,185069,-,CDS,0.5141451414514145,1.209904526409781,yaeI;ECK0163;NP_414706.2
b0166,0.0024242424242424242,2,825.0,185123,185947,-,CDS,0.5309090909090909,1.3480392156862746,dapD;ECK0164;ssa;NP_414708.1
b0167,0.001122334455667789,3,2673.0,185978,188650,-,CDS,0.5394687616909839,1.2202305625379215,glnD;ECK0165;glnD5;NP_414709.1
b0168,0.0,0,795.0,188712,189506,-,CDS,0.5044025157232704,1.3850174216027873,map;ECK0166;NP_414710.1
b0169,0.0013774104683195593,1,726.0,189874,190599,+,CDS,0.5137741046831956,1.0855762594893028,rpsB;ECK0168;NP_414711.1
b0170,0.0,0,852.0,190857,191708,+,CDS,0.4988262910798122,1.1499527601565664,tsf;ECK0169;NP_414712.1
b0171,0.0,0,726.0,191855,192580,+,CDS,0.5275482093663911,1.003705137421888,pyrH;ECK0170;smbA;umk;NP_414713.1
b0172,0.0,0,558.0,192872,193429,+,CDS,0.5089605734767025,1.4772227772227773,frr;ECK0171;rrf;NP_414714.1
b0173,0.001670843776106934,2,1197.0,193521,194717,+,CDS,0.5263157894736842,1.186095186095186,dxr;ECK0172;ispC;yaeM;NP_414715.1
b0174,0.0,0,762.0,194903,195664,+,CDS,0.5,1.088876435976464,ispU;ECK0173;rth;uppS;yaeS;NP_414716.1
b0175,0.002331002331002331,2,858.0,195677,196534,+,CDS,0.5081585081585082,1.0634469494604124,cdsA;cds;ECK0174;NP_414717.2
b0176,0.0007390983000739098,1,1353.0,196546,197898,+,CDS,0.5092387287509239,1.126358159254364,rseP;ecfE;ECK0175;yaeL;NP_414718.1
b0177,0.0,0,2433.0,197928,200360,+,CDS,0.5067817509247842,1.1486646164233982,bamA;ecfK;ECK0176;yaeT;yzzN;yzzY;NP_414719.1
b0178,0.0,0,486.0,200482,200967,+,CDS,0.5020576131687243,1.0165991902834008,skp;ECK0177;firA;hlpA;ompH;NP_414720.1
b0179,0.0009746588693957114,1,1026.0,200971,201996,+,CDS,0.5282651072124757,1.2642214646568364,lpxD;ECK0178;firA;omsA;NP_414721.1
b0180,0.0,0,456.0,202101,202556,+,CDS,0.5043859649122807,1.1135531135531136,fabZ;ECK0179;sabA1;sefA;sfhC21;yaeA;NP_414722.1
b0181,0.0,0,789.0,202560,203348,+,CDS,0.5310519645120405,1.478541066776361,lpxA;ECK0180;NP_414723.1
b0182,0.0008703220191470844,1,1149.0,203348,204496,+,CDS,0.5378590078328982,1.0422867992194504,lpxB;ECK0181;pgsB;NP_414724.1
b0183,0.0,0,597.0,204493,205089,+,CDS,0.5728643216080402,1.3142542652724272,rnhB;ECK0182;NP_414725.1
b0184,0.0005742176284811944,2,3483.0,205126,208608,+,CDS,0.549526270456503,1.3042150516380886,dnaE;ECK0183;polC;sdgC;NP_414726.1
b0185,0.0,0,960.0,208621,209580,+,CDS,0.5229166666666667,1.3188287727033117,accA;ECK0184;NP_414727.1
b0186,0.00046685340802987864,1,2142.0,209679,211820,+,CDS,0.5088702147525677,1.2868077868077867,ldcC;ECK0185;ldc;ldcH;NP_414728.1
b0187,0.002564102564102564,1,390.0,211877,212266,+,CDS,0.5051282051282051,1.3709677419354838,yaeR;ECK0186;NP_414729.4
b0188,0.0,0,1299.0,212331,213629,+,CDS,0.5804464973056197,1.146211813931644,tilS;ECK0187;mesJ;yaeN;NP_414730.1
b0189,0.0,0,255.0,213678,213932,-,CDS,0.47843137254901963,1.1012145748987854,rof;ECK0188;yaeO;NP_414731.2
b4406,0.0,0,201.0,213925,214125,-,CDS,0.5074626865671642,1.3778225806451612,yaeP;ECK0189;YP_026160.1
b0190,0.0,0,546.0,214291,214836,+,CDS,0.5238095238095238,1.0815629178428168,yaeQ;ECK0190;NP_414732.1
b0191,0.0,0,423.0,214833,215255,+,CDS,0.541371158392435,1.1318807339449541,arfB;ECK0191;yaeJ;NP_414733.1
b0192,0.0,0,711.0,215269,215979,+,CDS,0.5232067510548524,1.2876296188111582,nlpE;cutF;ECK0192;NP_414734.1
b0193,0.0,0,825.0,216179,217003,-,CDS,0.49333333333333335,0.9965693853884808,yaeF;ECK0193;yaeK;NP_414735.4
b0194,0.0,0,1719.0,217057,218775,-,CDS,0.5450843513670739,1.2489421591833378,proS;drp;drpA;ECK0194;NP_414736.1
b0195,0.0,0,708.0,218887,219594,-,CDS,0.5522598870056498,1.2597205505259301,trmO;ECK0195;tsaA;yaeB;NP_414737.1
b0196,0.0024691358024691358,1,405.0,219591,219995,-,CDS,0.5333333333333333,1.2257869249394673,rcsF;ECK0196;NP_414738.1
b0197,0.0012254901960784314,1,816.0,220113,220928,-,CDS,0.49142156862745096,1.03754674644727,metQ;ECK0197;metD;yaeC;NP_414739.1
b0198,0.0015290519877675841,1,654.0,220968,221621,-,CDS,0.5229357798165137,1.2907894736842105,metI;ECK0198;metD;yaeE;NP_414740.1
b0199,0.0,0,1032.0,221614,222645,-,CDS,0.5290697674418605,1.108485499462943,metN;abc;ECK0199;metD;NP_414741.1
b0200,0.001736111111111111,1,576.0,222833,223408,+,CDS,0.5017361111111112,1.2668621700879765,gmhB;ECK0200;yaeD;NP_414742.1
b0207,0.0,0,804.0,229167,229970,+,CDS,0.4626865671641791,1.0000289259784212,dkgB;ECK0207;yafB;NP_414743.1
b0208,0.001092896174863388,1,915.0,229967,230881,-,CDS,0.4961748633879781,1.3571428571428572,yafC;ECK0208;NP_414744.1
b0209,0.0024968789013732834,2,801.0,231122,231922,+,CDS,0.5268414481897628,1.2236700215672178,yafD;ECK0209;NP_414745.1
b0210,0.0016025641025641025,1,624.0,231926,232549,+,CDS,0.49038461538461536,1.0996776273372018,yafE;ECK0210;NP_414746.1
b0211,0.0007358351729212656,1,1359.0,232597,233955,-,CDS,0.5194996320824136,1.1837979094076656,mltD;dniR;ECK0211;yafG;NP_414747.1
b0212,0.0,0,756.0,234027,234782,-,CDS,0.4021164021164021,0.9570455735987429,gloB;ECK0212;yafR;NP_414748.1
b0213,0.0013831258644536654,1,723.0,234816,235538,+,CDS,0.49377593360995853,1.0438139476492374,yafS;ECK0213;NP_414749.2
